regionId: 1604830953, index: 1, origin: 1.3731662034988403, -0.18669088184833527, -1.374896692141192E-5, normal: -1.9611901734606363E-5, 9.159345609077718E-6, 1.0, concave hull size: 135, number of convex polygons: 3, [12, 11, 6]
regionId: 1999708761, index: 1, origin: 2.6795878410339355, -0.9650057554244995, 0.5631683468818665, normal: -0.7167631387710571, -0.6972950100898743, -0.00549838412553072, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 1999708761, index: 2, origin: 2.6795878410339355, -0.9650057554244995, 0.5631683468818665, normal: -0.7167631387710571, -0.6972950100898743, -0.00549838412553072, concave hull size: 15, number of convex polygons: 1, [15]
regionId: 1970668173, index: 1, origin: 4.212001800537109, 0.07418153434991837, 0.14824748039245605, normal: -0.20383797585964203, -4.0691687900107354E-5, 0.9790046215057373, concave hull size: 24, number of convex polygons: 1, [24]
regionId: 305140112, index: 1, origin: 2.3073806762695312, -0.5212891101837158, 0.5728452801704407, normal: -0.7119040489196777, 0.7022767066955566, 2.7591409161686897E-4, concave hull size: 8, number of convex polygons: 1, [8]
regionId: 190173571, index: 1, origin: 1.7857671976089478, 1.7706621885299683, -4.6619468776043504E-5, normal: 5.3614541684510186E-5, -7.242304855026305E-4, 0.9999997615814209, concave hull size: 11, number of convex polygons: 1, [11]
regionId: 190173571, index: 2, origin: 1.7857671976089478, 1.7706621885299683, -4.6619468776043504E-5, normal: 5.3614541684510186E-5, -7.242304855026305E-4, 0.9999997615814209, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 703810884, index: 1, origin: 1.7329825162887573, 1.4844958782196045, -3.4529399272287264E-5, normal: 1.7821843357523903E-5, 1.407596719218418E-4, 1.0, concave hull size: 15, number of convex polygons: 1, [15]
regionId: 783368534, index: 1, origin: 3.028939962387085, 1.79924738407135, 1.338681697845459, normal: -0.9999674558639526, -0.006543414201587439, -0.004723209887742996, concave hull size: 10, number of convex polygons: 1, [10]
regionId: 1885505789, index: 1, origin: 0.8259066939353943, 1.9518439769744873, -1.2360295841062907E-5, normal: 2.253723687317688E-5, -5.239829624770209E-5, 1.0, concave hull size: 8, number of convex polygons: 1, [8]
regionId: 27730612, index: 1, origin: 2.009443759918213, 1.7500251531600952, 0.29195454716682434, normal: 2.2550055291503668E-5, -1.0, -1.265137252630666E-4, concave hull size: 8, number of convex polygons: 1, [8]
regionId: 2007840005, index: 1, origin: 3.4839651584625244, -1.7659697532653809, 0.5479833483695984, normal: -0.7065762281417847, -0.7076368927955627, 2.8569341520778835E-4, concave hull size: 15, number of convex polygons: 1, [15]
regionId: 1216770267, index: 1, origin: 3.2528696060180664, 1.958027720451355, -9.050572771229781E-6, normal: -1.1970812192885205E-4, -0.0012884271563962102, 0.9999991655349731, concave hull size: 8, number of convex polygons: 1, [8]
regionId: 1216770267, index: 2, origin: 3.2528696060180664, 1.958027720451355, -9.050572771229781E-6, normal: -1.1970812192885205E-4, -0.0012884271563962102, 0.9999991655349731, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 452277529, index: 1, origin: 1.7498717308044434, 1.8791648149490356, 0.23830415308475494, normal: -0.9999997019767761, 7.730643847025931E-4, 6.673984171357006E-5, concave hull size: 10, number of convex polygons: 1, [10]
regionId: 1426220310, index: 1, origin: 1.996245265007019, 1.7501553297042847, 0.09097832441329956, normal: -0.002795706270262599, -0.9999871850013733, 0.004217900801450014, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 950087161, index: 1, origin: 3.0999598503112793, -1.3834469318389893, 1.2779871225357056, normal: -0.7195923328399658, 0.6943950057029724, 0.001574491267092526, concave hull size: 8, number of convex polygons: 1, [8]
