regionId: 1594746996, index: 1, origin: -3.3122995056561977, 0.5383892194136675, 1.8887895060865667, normal: -3.1863966724553054E-4, 0.03146635979799553, 0.9995047607039326, concave hull size: 23, number of convex polygons: 1, [21]
regionId: 927707410, index: 1, origin: -4.841890100117478, -0.2779150751271714, -0.012428758686626015, normal: 0.012020345641577277, 0.0131638554660834, 0.9998410994752742, concave hull size: 16, number of convex polygons: 1, [9]
regionId: -1305841361, index: 1, origin: -4.841890100117478, -0.2779150751271714, -0.012428758686626015, normal: 0.012020345641577277, 0.0131638554660834, 0.9998410994752742, concave hull size: 97, number of convex polygons: 4, [7, 10, 6, 14]
regionId: 1816290613, index: 1, origin: -2.9237462929101623, 0.1580263771572159, 0.9716239663427825, normal: 0.0000000000000000, 0.00000000000000000, 1.00000000000000000, concave hull size: 62, number of convex polygons: 2, [11, 9]
regionId: 1516665592, index: 1, origin: -5.5272460753391375, -1.4289289424842966, 1.6668822236929222, normal: 0.9056110137218792, 0.18378004060646244, -0.3822219100212819, concave hull size: 42, number of convex polygons: 1, [15]
regionId: 1735910209, index: 1, origin: -3.5306964542244152, -1.6912806589048481, 1.3935598863826517, normal: -0.2442026981216142, 0.9657111985875685, -0.08813014894283157, concave hull size: 30, number of convex polygons: 2, [10, 9]
regionId: 272030933, index: 1, origin: -4.086796470720821, -1.4930497562573957, -0.0014169216059434298, normal: 0.009267986668152978, 0.01473537676991593, 0.9998484750673813, concave hull size: 49, number of convex polygons: 2, [13, 12]
regionId: 463568883, index: 1, origin: -3.1931947052009493, 1.345859868554619, -0.06881165149526329, normal: 0.041143860700374756, 0.013183168666594499, 0.9990662574577205, concave hull size: 16, number of convex polygons: 1, [10]
regionId: 152148928, index: 1, origin: -3.4087693150106224, -1.7284475086550954, 0.11522461723928389, normal: 0.00672724204978708, 0.028026624545600662, 0.9995845399619702, concave hull size: 12, number of convex polygons: 1, [9]
regionId: 421649473, index: 1, origin: -3.4087693150106224, -1.7284475086550954, 0.11522461723928389, normal: 0.00672724204978708, 0.028026624545600662, 0.9995845399619702, concave hull size: 8, number of convex polygons: 1, [8]
regionId: 17885984, index: 1, origin: -3.6138332182047312, -1.7708621925237227, 1.1526379946137777, normal: -0.2514564107651452, 0.9259225260527564, -0.2818459672111581, concave hull size: 16, number of convex polygons: 1, [8]
regionId: 542618280, index: 1, origin: -2.756133104108043, 1.3696935484089803, -0.07945481057941299, normal: 0.11945876539778273, 0.022711628400158855, 0.992579359701304, concave hull size: 6, number of convex polygons: 1, [5]
regionId: 1515110549, index: 1, origin: -2.2466847519541884, -1.4417875794477237, -0.031692875436572135, normal: -0.013150430401168652, -0.045918657541585306, 0.9988586201609528, concave hull size: 14, number of convex polygons: 1, [8]
regionId: 1921475086, index: 1, origin: -4.585661515150919, 2.0237508870587493, 0.5108087042180619, normal: 0.06126862206430355, 0.03666513234620452, 0.99744765477712, concave hull size: 10, number of convex polygons: 1, [7]
regionId: 522064893, index: 1, origin: -2.4398186181982364, -1.5220310178895793, 0.13966781257962183, normal: 0.04209153645239781, -0.005771681613731707, 0.9990970874997215, concave hull size: 8, number of convex polygons: 1, [7]
regionId: 1885812181, index: 1, origin: -4.1843111261408374, 2.038948814074199, 0.40143105916097654, normal: 0.023198440935632166, 0.03953570982843051, 0.9989488275114587, concave hull size: 14, number of convex polygons: 1, [7]
regionId: 1983380612, index: 1, origin: -3.2462002346196126, 0.3512307092086556, 1.8878916379102724, normal: 0.03153295594276128, -0.18466087895121303, 0.9822963058438514, concave hull size: 8, number of convex polygons: 1, [7]
regionId: 1108195880, index: 1, origin: -3.871179804569338, -1.8020481263718955, 1.018602315972491, normal: 0.8702237449099203, 0.49205689662888963, -0.024303174173351816, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 1644119820, index: 1, origin: -2.49942200720025, 2.117817056806465, -0.06754603222654194, normal: -0.006394380735980333, -0.008908651603864814, 0.9999398721031201, concave hull size: 8, number of convex polygons: 1, [7]
regionId: -571893131, index: 1, origin: -2.49942200720025, 2.117817056806465, -0.06754603222654194, normal: -0.006394380735980333, -0.008908651603864814, 0.9999398721031201, concave hull size: 5, number of convex polygons: 1, [5]
