regionId: 1583518354, index: 1, origin: 0.027998166191516544, 1.088628352422542, -1.5559579130661414, normal: 0.033867668843927695, 0.0376360124304524, 0.9987174332990353, concave hull size: 104, number of convex polygons: 9, [9, 5, 5, 6, 5, 6, 6, 7, 11]
regionId: 1205663068, index: 1, origin: 2.203836005996146, 1.7149760067902067, -1.17761361829085, normal: 0.039864122400415807, 0.024820529430011777, 0.9988967879936638, concave hull size: 57, number of convex polygons: 2, [10, 10]
regionId: -709944926, index: 1, origin: 0.9937354750686914, 0.6284382310184834, -1.493861302626691, normal: -0.3267135635935368, 0.8449759203380549, 0.42340753584799257, concave hull size: 14, number of convex polygons: 1, [7]
regionId: -1185475, index: 1, origin: 1.7598877124080707, 0.44843607524269796, -1.2238286301243955, normal: -0.04226514787570368, -0.04008616289969702, 0.9983019367000265, concave hull size: 24, number of convex polygons: 1, [9]
regionId: -643443371, index: 1, origin: 1.1306217226220905, 0.4335656516596244, -1.425179820383458, normal: 0.060258407691703694, 0.055429744622161665, 0.9966425977819643, concave hull size: 22, number of convex polygons: 1, [10]
regionId: -1938411237, index: 1, origin: 2.180550096383158, 1.002491051840033, -1.231422096515167, normal: 0.05574250355896092, -0.035266135405991966, 0.9978221650126367, concave hull size: 17, number of convex polygons: 1, [11]
regionId: -608995862, index: 1, origin: 0.2902727715684802, 0.7421635089231038, -1.324090325185053, normal: 0.5925700225012103, 0.8053983985963301, 0.013935134422819018, concave hull size: 10, number of convex polygons: 1, [6]
regionId: 994649247, index: 1, origin: 1.4546123005962441, 1.4210739431027166, -1.217206769801229, normal: 0.03091766240769812, 0.017424872926881274, 0.9993700375510193, concave hull size: 20, number of convex polygons: 1, [7]
regionId: -1598331758, index: 1, origin: 1.030992548761458, 0.783835169712497, -1.3723333223108392, normal: 0.07957094030791084, 0.99528894178709, -0.05539303038153409, concave hull size: 18, number of convex polygons: 1, [7]
regionId: 1307130801, index: 1, origin: 1.2897415647488784, 1.9249166055371703, -1.3220845811942183, normal: 0.4288814471002714, 0.7153718081144618, -0.5516374538482884, concave hull size: 9, number of convex polygons: 1, [7]
regionId: 932437955, index: 1, origin: 0.8517777302694597, 0.950036775367501, -1.4091763445277545, normal: 0.9915728926511331, -0.004857185818619492, -0.12945889813136868, concave hull size: 11, number of convex polygons: 1, [6]
regionId: 522269454, index: 1, origin: 0.5249472436029263, 1.0866676744078092, -1.1721010732592898, normal: 0.0073882607334119985, 0.049271322020929195, 0.9987581040620622, concave hull size: 27, number of convex polygons: 1, [10]
regionId: -1324031234, index: 1, origin: 1.5062963219343843, 0.4308450894349867, -1.3661135922038838, normal: -0.819533033335447, 0.5667761536092352, 0.08444168977419864, concave hull size: 22, number of convex polygons: 2, [6, 5]
regionId: -1520583616, index: 1, origin: 0.6004162269844427, 1.9592883639342005, -1.4077211396510596, normal: 0.027884489051758325, 0.05983408293059515, 0.9978187900566801, concave hull size: 10, number of convex polygons: 1, [6]
regionId: -433143744, index: 1, origin: -0.03174986379895389, 2.2101627872857104, -1.5974340608036206, normal: -0.054073891592866685, 0.033203226796090404, 0.9979847493716176, concave hull size: 25, number of convex polygons: 2, [8, 7]
regionId: -1596820056, index: 1, origin: 1.0469419182775377, 2.363558433616187, -1.2916140182068765, normal: -0.11309402166662916, 0.1559926058080685, 0.9812624772182398, concave hull size: 2, number of convex polygons: 1, [2]
regionId: -1596820056, index: 2, origin: 1.0469419182775377, 2.363558433616187, -1.2916140182068765, normal: -0.11309402166662916, 0.1559926058080685, 0.9812624772182398, concave hull size: 16, number of convex polygons: 1, [7]
regionId: 872001208, index: 1, origin: 1.4846680072881322, 0.6997129197473649, -1.4508506934604593, normal: 0.128708520343712, 0.9710745753697523, -0.2011175921230871, concave hull size: 14, number of convex polygons: 1, [7]
regionId: 724573062, index: 1, origin: 1.4405252247604756, 0.17062894982790905, -1.251747170904213, normal: 0.4121979648716102, 0.6996986673503709, -0.5835362993540483, concave hull size: 7, number of convex polygons: 1, [4]
regionId: -1353297539, index: 1, origin: 1.5468649116496505, 0.8538975032997894, -1.362153889304644, normal: 0.17683524219652058, 0.21739908595664928, 0.9599306925723916, concave hull size: 2, number of convex polygons: 1, [2]
regionId: -1353297539, index: 2, origin: 1.5468649116496505, 0.8538975032997894, -1.362153889304644, normal: 0.17683524219652058, 0.21739908595664928, 0.9599306925723916, concave hull size: 11, number of convex polygons: 1, [6]
regionId: 1770311965, index: 1, origin: 1.4846327932483243, 2.102661708502134, -1.2395785298876674, normal: 0.03411021458311949, 0.07984104741745844, 0.9962238204381466, concave hull size: 2, number of convex polygons: 1, [2]
regionId: 1770311965, index: 2, origin: 1.4846327932483243, 2.102661708502134, -1.2395785298876674, normal: 0.03411021458311949, 0.07984104741745844, 0.9962238204381466, concave hull size: 15, number of convex polygons: 1, [9]
regionId: -1835783595, index: 1, origin: -0.4785037994907256, 2.64307686870287, -0.8643557894021187, normal: -0.79955870477032, 0.1917203383312781, 0.5691653446022067, concave hull size: 12, number of convex polygons: 1, [6]
regionId: 649173346, index: 1, origin: 1.9138319882175518, 1.4347736977095429, -1.1974367462383437, normal: 0.3618352283755998, 0.68267128019598, -0.6348505262673729, concave hull size: 8, number of convex polygons: 1, [5]
regionId: 1537105871, index: 1, origin: 1.2529032264612046, -0.14425200042282943, -1.3846799712856857, normal: 0.5409891686082338, 0.8316370109779988, -0.12534193799423998, concave hull size: 6, number of convex polygons: 1, [6]
