regionId: 1659770117, index: 1, origin: -1.7802878618240356, 2.480896472930908, 0.7281740307807922, normal: 0.9997382014315652, -0.01696325440638562, 0.01535501866894169, concave hull size: 91, number of convex polygons: 3, [14, 8, 10]
regionId: 221415874, index: 1, origin: 1.1583242416381836, -1.588997483253479, 1.4062974452972412, normal: 0.2693859604033466, -0.1727327981453158, 0.9474146846985517, concave hull size: 53, number of convex polygons: 2, [8, 9]
regionId: 1617555639, index: 1, origin: 3.0968785285949707, 0.36697813868522644, 1.1387706995010376, normal: -0.4717446778985074, 0.8804890355394661, -0.04686168124613475, concave hull size: 16, number of convex polygons: 1, [10]
regionId: 2078957829, index: 1, origin: 3.145368814468384, -1.6383047103881836, 1.3953857421875, normal: -0.9659402030036974, -0.12307091383000693, 0.22762485450895434, concave hull size: 19, number of convex polygons: 1, [14]
regionId: 1242569057, index: 1, origin: 2.1243972778320312, -1.8344314098358154, 1.2549923658370972, normal: 0.06926900722683203, 0.5203477612008177, 0.8511404185274636, concave hull size: 58, number of convex polygons: 1, [12]
regionId: 1993160904, index: 1, origin: 2.9704947471618652, -1.2952406406402588, 1.226739525794983, normal: -0.43357906191725865, -0.08594206809038205, 0.897007891826654, concave hull size: 37, number of convex polygons: 2, [5, 10]
regionId: 226440727, index: 1, origin: -1.9665769338607788, 1.7627999782562256, 0.830967128276825, normal: 0.9975367227786038, 0.0697129371530789, -0.007784157090779371, concave hull size: 33, number of convex polygons: 2, [12, 9]
regionId: 276550002, index: 1, origin: 3.160423517227173, -1.1853129863739014, 1.412183403968811, normal: -0.7618314660197945, 0.37821117224030393, 0.5258983994791636, concave hull size: 12, number of convex polygons: 1, [12]
regionId: 1280603436, index: 1, origin: 3.080075263977051, 0.42834997177124023, 0.6854954361915588, normal: -0.7189394187580199, -0.305406389580283, 0.6243821340808984, concave hull size: 26, number of convex polygons: 2, [7, 7]
regionId: 507615947, index: 1, origin: 3.1297409534454346, 0.340849369764328, 0.855004072189331, normal: -0.013212813439950294, -0.9491168530303402, 0.3146468192351303, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 385888466, index: 1, origin: 3.063628911972046, 0.11362205445766449, 1.2720675468444824, normal: -0.74977200319119, -0.6616960684128136, -5.062387729476645E-4, concave hull size: 20, number of convex polygons: 1, [10]
regionId: 1166509086, index: 1, origin: 3.094245672225952, -0.8646056056022644, 1.356803297996521, normal: -0.4688318548291418, -0.6048945627801592, 0.6436608266909417, concave hull size: 9, number of convex polygons: 1, [9]
regionId: 1762778747, index: 1, origin: -1.9969178438186646, 1.9491066932678223, 1.244240641593933, normal: -0.35761227483972813, -0.9201869183338274, 0.1592780468590979, concave hull size: 10, number of convex polygons: 1, [8]
