regionId: 721791554, index: 1, origin: 1.3461825847625732, -0.8757319450378418, 0.4872622787952423, normal: -0.875519468053089, 0.23548981912454162, 0.4219125574674528, concave hull size: 72, number of convex polygons: 3, [11, 9, 12]
regionId: 1854890840, index: 1, origin: 1.8822970390319824, 0.32594063878059387, 0.4272613823413849, normal: -0.2680465853017517, -0.9634058389095476, -4.665437403669846E-4, concave hull size: 31, number of convex polygons: 1, [14]
regionId: 1945905478, index: 1, origin: 1.1719907522201538, 0.2459685355424881, -0.003314055735245347, normal: -0.001730976440857395, -0.002937926525625506, 0.9999941861372451, concave hull size: 168, number of convex polygons: 8, [12, 6, 10, 9, 7, 5, 7, 11]
regionId: 1142537739, index: 1, origin: 1.8331118822097778, 0.9432920813560486, 0.502047061920166, normal: -0.8729208162930862, 0.25029719022601316, 0.4187607491720962, concave hull size: 61, number of convex polygons: 2, [7, 14]
regionId: 862496073, index: 1, origin: 1.5972899198532104, -0.8532002568244934, 0.8057171702384949, normal: -0.9598190609894992, 0.27908893912099597, 0.02927002257520385, concave hull size: 17, number of convex polygons: 1, [11]
regionId: 2147037608, index: 1, origin: 2.0507092475891113, 0.8714619874954224, 0.8286212682723999, normal: -0.959971334143326, 0.2778336181344893, 0.03554600198871301, concave hull size: 15, number of convex polygons: 1, [11]
regionId: 8257800, index: 1, origin: 1.0952849388122559, -1.6863596439361572, 0.42991143465042114, normal: -0.86881180097647, 0.25605312426014554, 0.4237957668979731, concave hull size: 31, number of convex polygons: 3, [9, 7, 5]
regionId: 498807888, index: 1, origin: 2.719580888748169, 0.6420099139213562, 1.2194150686264038, normal: -0.6626135257298762, -0.7488839195776016, -0.010779170557667552, concave hull size: 30, number of convex polygons: 2, [11, 9]
regionId: 1720342689, index: 1, origin: 1.1986477375030518, -0.7394185066223145, 0.033928148448467255, normal: -0.9639522199653309, 0.2604691621117629, -0.054331696206787385, concave hull size: 16, number of convex polygons: 1, [8]
regionId: 1161822298, index: 1, origin: 1.7758193016052246, -0.4896833002567291, 0.9621614217758179, normal: 0.00675335573444687, 0.005375442564043049, 0.9999627477079157, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 383693690, index: 1, origin: 1.4869449138641357, -0.9868475794792175, 0.6657561659812927, normal: 0.2824285936924538, 0.9405480664839218, 0.18868869626519608, concave hull size: 9, number of convex polygons: 1, [6]
regionId: 1343171909, index: 1, origin: 1.331315040588379, -1.829336166381836, 0.8528674244880676, normal: -0.9517420149077619, 0.306351072549918, 0.01833459590032713, concave hull size: 13, number of convex polygons: 1, [7]
regionId: 1713632719, index: 1, origin: 0.4061853885650635, -1.6945414543151855, -0.006525744684040546, normal: 0.16589206692747904, 0.014474279452796713, 0.9860376855703088, concave hull size: 15, number of convex polygons: 1, [10]
regionId: 518185418, index: 1, origin: 1.6252760887145996, -1.011252522468567, 1.05198335647583, normal: -0.33650226019461194, 0.09580119875335248, 0.9367968612251742, concave hull size: 26, number of convex polygons: 1, [8]
regionId: 985881377, index: 1, origin: 2.6575889587402344, 0.8254866600036621, 1.2449314594268799, normal: -0.6243361844001261, 0.7811334149775744, 0.005909048499079342, concave hull size: 6, number of convex polygons: 1, [5]
regionId: 985881377, index: 2, origin: 2.6575889587402344, 0.8254866600036621, 1.2449314594268799, normal: -0.6243361844001261, 0.7811334149775744, 0.005909048499079342, concave hull size: 15, number of convex polygons: 1, [7]
regionId: 1693193310, index: 1, origin: 2.0390758514404297, 1.0045709609985352, 0.7168545126914978, normal: -0.3067866501675145, -0.930780034291179, 0.19882273271411055, concave hull size: 9, number of convex polygons: 1, [6]
regionId: 228106324, index: 1, origin: 0.9394012689590454, -1.6907728910446167, 0.043310970067977905, normal: -0.9652150358728466, 0.25974691143986683, -0.029857604097269157, concave hull size: 12, number of convex polygons: 1, [7]
regionId: 1273320703, index: 1, origin: 1.4976502656936646, -0.8093503713607788, 0.5604828000068665, normal: -0.0052088332109842, 0.005192522027199855, 0.9999729525200055, concave hull size: 12, number of convex polygons: 1, [6]
regionId: 2021545028, index: 1, origin: 2.6219685077667236, 0.9894555807113647, 1.1816679239273071, normal: -0.6674639477724327, -0.6421303052110233, 0.37704184058753665, concave hull size: 14, number of convex polygons: 1, [6]
regionId: 2132063162, index: 1, origin: 1.5298458337783813, -0.31920164823532104, 0.5426316857337952, normal: -0.7576913006171322, 0.5134265266019586, 0.4028611358155153, concave hull size: 23, number of convex polygons: 1, [7]
regionId: 439488142, index: 1, origin: 2.6584150791168213, 0.6989065408706665, 1.3568514585494995, normal: -0.4902734670414511, -0.8714529718978892, -0.01420018610765352, concave hull size: 17, number of convex polygons: 1, [11]
regionId: 1550430410, index: 1, origin: 2.5253777503967285, 1.087059736251831, 1.1199448108673096, normal: -0.8076638713260675, -0.5864723421999314, 0.06106769022253821, concave hull size: 14, number of convex polygons: 1, [8]
regionId: 1074377959, index: 1, origin: 1.480182409286499, -1.5658279657363892, 0.960716187953949, normal: 0.0020434206528556075, -5.133353334027182E-4, 0.9999977804569723, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 612867404, index: 1, origin: 1.6742513179779053, 1.0524533987045288, 0.06477180123329163, normal: -0.9393314642266941, 0.2508912363961528, 0.23390166269897433, concave hull size: 10, number of convex polygons: 1, [6]
regionId: 612867404, index: 2, origin: 1.6742513179779053, 1.0524533987045288, 0.06477180123329163, normal: -0.9393314642266941, 0.2508912363961528, 0.23390166269897433, concave hull size: 6, number of convex polygons: 1, [4]
