regionId: 1293261731, index: 1, origin: 0.2773359715938568, 7.012866497039795, 0.0010487557156011462, normal: 3.273672773502767E-4, -2.0658469293266535E-4, 0.9999999403953552, concave hull size: 229, number of convex polygons: 8, [9, 7, 9, 9, 9, 14, 7, 9]
regionId: 247892268, index: 1, origin: 0.08519843965768814, 5.231157302856445, 0.1864694505929947, normal: -0.01938679628074169, 0.010618474334478378, 0.9997556805610657, concave hull size: 14, number of convex polygons: 1, [14]
regionId: 14443162, index: 1, origin: -0.7520356178283691, 3.935285806655884, 0.067084901034832, normal: 0.0011694319546222687, -0.0017829079879447818, 0.9999977350234985, concave hull size: 10, number of convex polygons: 1, [10]
regionId: 1006491877, index: 1, origin: 0.8887249231338501, 4.074572563171387, 0.08630594611167908, normal: 0.027111710980534554, -0.019155651330947876, 0.999448835849762, concave hull size: 11, number of convex polygons: 1, [11]
regionId: 998681640, index: 1, origin: 0.4669232666492462, 3.479306221008301, 0.073618583381176, normal: -0.013801289722323418, -0.9999046325683594, -4.433463327586651E-4, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 1420602255, index: 1, origin: 1.7500035762786865, 2.095787525177002, 0.2537481486797333, normal: -1.0, 1.129217525885906E-5, 8.124330634018406E-6, concave hull size: 8, number of convex polygons: 1, [8]
regionId: 1851319230, index: 1, origin: 0.04540308192372322, 4.990293979644775, 0.124653160572052, normal: -0.25492095947265625, -0.9668814539909363, 0.012472531758248806, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 830910889, index: 1, origin: 0.2611105442047119, 3.658724308013916, 0.09576258063316345, normal: 0.2134695202112198, -0.9769279956817627, 0.006519291549921036, concave hull size: 8, number of convex polygons: 1, [8]
regionId: 1651368259, index: 1, origin: 0.43646499514579773, 4.641971588134766, 0.09066582471132278, normal: -7.66094250138849E-4, 0.002077959943562746, 0.9999975562095642, concave hull size: 8, number of convex polygons: 1, [8]
regionId: 1785279225, index: 1, origin: 0.5559598207473755, 6.176637649536133, 0.10245190560817719, normal: 6.957535515539348E-4, -0.9999233484268188, 0.01236126571893692, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 369935782, index: 1, origin: 0.013553120195865631, 6.3311285972595215, 0.13559339940547943, normal: 3.200795908924192E-4, -3.4692791814450175E-5, 0.9999999403953552, concave hull size: 13, number of convex polygons: 1, [13]
regionId: 212882389, index: 1, origin: -1.7301089763641357, 3.644118309020996, 0.1041376069188118, normal: 0.7081202864646912, -0.7060456871986389, 0.008072339929640293, concave hull size: 9, number of convex polygons: 1, [9]
regionId: 111656946, index: 1, origin: 0.7471173405647278, 6.497612476348877, 0.17426371574401855, normal: -0.007189559750258923, -0.0022906344383955, 0.9999715089797974, concave hull size: 17, number of convex polygons: 2, [9, 9]
regionId: 87498515, index: 1, origin: 0.893262505531311, 3.41530442237854, 0.08522344380617142, normal: 0.3528463542461395, -0.9356364607810974, 0.009157842956483364, concave hull size: 8, number of convex polygons: 1, [8]
regionId: 1846452392, index: 1, origin: 1.0223979949951172, 6.401808261871338, 0.09853727370500565, normal: -0.18694652616977692, -0.9823348522186279, 0.008319977670907974, concave hull size: 8, number of convex polygons: 1, [8]
regionId: 37241069, index: 1, origin: 0.6975886225700378, 7.337978839874268, 0.10738586634397507, normal: -0.07555525749921799, -0.997078537940979, 0.01121821254491806, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 431921018, index: 1, origin: 0.9408083558082581, 7.4164814949035645, 0.090574711561203, normal: 0.6257145404815674, -0.7800500392913818, 0.0018089322838932276, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 2129167469, index: 1, origin: 0.8473763465881348, 6.286900520324707, 0.09091031551361084, normal: 0.0056061106733977795, -0.0029990682378411293, 0.9999797940254211, concave hull size: 8, number of convex polygons: 1, [8]
regionId: 721052374, index: 1, origin: 0.9191091060638428, 4.2737345695495605, 0.13553325831890106, normal: 0.226892352104187, -0.9735424518585205, 0.027111144736409187, concave hull size: 5, number of convex polygons: 1, [5]
regionId: 310880673, index: 1, origin: -1.7608360052108765, 3.7559125423431396, 0.19943343102931976, normal: 0.007865168154239655, 0.0028885258361697197, 0.9999648928642273, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 1726993855, index: 1, origin: 0.24302494525909424, 5.636418342590332, 0.06069009006023407, normal: 0.0022082834038883448, -0.006593627389520407, 0.9999758005142212, concave hull size: 10, number of convex polygons: 1, [10]
regionId: 820046480, index: 1, origin: -0.13040751218795776, 5.192903518676758, 0.17807935178279877, normal: -0.32827168703079224, -7.166247814893723E-4, 0.9445830583572388, concave hull size: 5, number of convex polygons: 1, [5]
regionId: 1364510598, index: 1, origin: 0.7798203229904175, 7.543682098388672, 0.18506237864494324, normal: -8.701294427737594E-4, -2.972195215988904E-4, 0.9999995827674866, concave hull size: 12, number of convex polygons: 1, [12]
regionId: 640934858, index: 1, origin: 0.5741302967071533, 3.6993446350097656, 0.15188159048557281, normal: 0.014435149729251862, -4.616395744960755E-4, 0.9998956918716431, concave hull size: 22, number of convex polygons: 3, [6, 9, 9]
