regionId: 721791554, index: 1, origin: 1.3461825535941458, -0.8757319681279648, 0.48726227387652377, normal: -0.8755194710852678, 0.23548980903348032, 0.42191255680762546, concave hull size: 72, number of convex polygons: 3, [11, 9, 12]
regionId: 1854890840, index: 1, origin: 1.8822970071976823, 0.3259406315557884, 0.4272613820527721, normal: -0.2680465786939173, -0.9634058407480368, -4.6654373210093097E-4, concave hull size: 31, number of convex polygons: 1, [14]
regionId: 1945905478, index: 1, origin: 1.171990694054456, 0.24596852838981534, -0.0033140557046438153, normal: -0.0017309763880794477, -0.0029379263841006736, 0.9999941861377523, concave hull size: 168, number of convex polygons: 8, [12, 6, 10, 9, 7, 5, 7, 11]
regionId: 1142537739, index: 1, origin: 1.8331119230296595, 0.9432921006898561, 0.502047088744476, normal: -0.8729208120628009, 0.2502972029846813, 0.4187607503642927, concave hull size: 61, number of convex polygons: 2, [7, 14]
regionId: 862496073, index: 1, origin: 1.5972899670870797, -0.8532002637830548, 0.8057171736123425, normal: -0.959819055804696, 0.2790889568919477, 0.029270023149063743, concave hull size: 17, number of convex polygons: 1, [11]
regionId: 2147037608, index: 1, origin: 2.0507093121135034, 0.8714620068905841, 0.8286212844508032, normal: -0.9599713342681715, 0.27783361796835776, 0.03554599991559023, concave hull size: 15, number of convex polygons: 1, [11]
regionId: 8257800, index: 1, origin: 1.0952849670716795, -1.6863596132405754, 0.4299114378123505, normal: -0.8688118097256826, 0.2560531203357215, 0.4237957513325549, concave hull size: 31, number of convex polygons: 3, [9, 7, 5]
regionId: 498807888, index: 1, origin: 2.719580894543065, 0.64200990450465, 1.219415091702506, normal: -0.6626135364836497, -0.748883910063252, -0.010779170515683133, concave hull size: 30, number of convex polygons: 2, [11, 9]
regionId: 1720342689, index: 1, origin: 1.1986476832152542, -0.7394185069021486, 0.033928147035633426, normal: -0.963952216397709, 0.2604691752878714, -0.05433169633649228, concave hull size: 16, number of convex polygons: 1, [8]
regionId: 1161822298, index: 1, origin: 1.7758193190755525, -0.48968330796422627, 0.9621614089299891, normal: 0.00675335571308541, 0.00537544266498259, 0.9999627477075174, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 383693690, index: 1, origin: 1.4869449268216677, -0.9868475516205248, 0.6657561640376628, normal: 0.2824286059622158, 0.9405480625767061, 0.18868869737597904, concave hull size: 9, number of convex polygons: 1, [6]
regionId: 1343171909, index: 1, origin: 1.3313149829064646, -1.82933621108532, 0.8528674278528462, normal: -0.9517420206774433, 0.30635105463855355, 0.0183345956776525, concave hull size: 13, number of convex polygons: 1, [7]
regionId: 1713632719, index: 1, origin: 0.4061853954651085, -1.6945414660599434, -0.006525744454077277, normal: 0.16589206695211134, 0.014474279288211423, 0.9860376855685806, concave hull size: 15, number of convex polygons: 1, [10]
regionId: 518185418, index: 1, origin: 1.6252760481928654, -1.0112525757122413, 1.0519833908721858, normal: -0.3365022424982037, 0.09580119386642445, 0.936796868081575, concave hull size: 26, number of convex polygons: 1, [8]
regionId: 985881377, index: 1, origin: 2.6575889551002554, 0.8254866308838354, 1.2449314771717737, normal: -0.6243362092255974, 0.7811333951358067, 0.005909048435985581, concave hull size: 6, number of convex polygons: 1, [5]
regionId: 985881377, index: 2, origin: 2.6575889551002554, 0.8254866308838354, 1.2449314771717737, normal: -0.6243362092255974, 0.7811333951358067, 0.005909048435985581, concave hull size: 15, number of convex polygons: 1, [7]
regionId: 1693193310, index: 1, origin: 2.039075896304141, 1.0045709404894103, 0.7168544960278335, normal: -0.3067866527167482, -0.9307800333341686, 0.19882273326080482, concave hull size: 9, number of convex polygons: 1, [6]
regionId: 228106324, index: 1, origin: 0.9394012599280385, -1.6907728811105087, 0.043310969990367675, normal: -0.9652150377185963, 0.25974690452263804, -0.029857604605798706, concave hull size: 12, number of convex polygons: 1, [7]
regionId: 1273320703, index: 1, origin: 1.4976502578120583, -0.8093503679125762, 0.5604828054254707, normal: -0.005208833315712261, 0.005192522020237062, 0.9999729525194961, concave hull size: 12, number of convex polygons: 1, [6]
regionId: 2021545028, index: 1, origin: 2.6219684979954705, 0.9894555631231091, 1.1816678926592967, normal: -0.6674639525248808, -0.642130294766184, 0.37704184996278245, concave hull size: 14, number of convex polygons: 1, [6]
regionId: 2132063162, index: 1, origin: 1.5298458500341934, -0.31920165308948734, 0.5426316815569545, normal: -0.7576912988349552, 0.5134265187203378, 0.40286114921212396, concave hull size: 23, number of convex polygons: 1, [7]
regionId: 439488142, index: 1, origin: 2.658414983378791, 0.6989065654228386, 1.3568514321443335, normal: -0.49027347956416445, -0.8714529648441022, -0.014200186635065075, concave hull size: 17, number of convex polygons: 1, [11]
regionId: 1550430410, index: 1, origin: 2.525377779555835, 1.0870597555482986, 1.119944793714894, normal: -0.807663859775819, -0.5864723582446261, 0.06106768889530118, concave hull size: 14, number of convex polygons: 1, [8]
regionId: 1074377959, index: 1, origin: 1.4801824444218692, -1.5658279381300266, 0.9607161785426893, normal: 0.0020434207481514273, -5.133353552528886E-4, 0.9999977804567663, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 612867404, index: 1, origin: 1.6742513274068898, 1.052453447196443, 0.06477180330903601, normal: -0.939331463315766, 0.25089123221230825, 0.2339016708449331, concave hull size: 10, number of convex polygons: 1, [6]
regionId: 612867404, index: 2, origin: 1.6742513274068898, 1.052453447196443, 0.06477180330903601, normal: -0.939331463315766, 0.25089123221230825, 0.2339016708449331, concave hull size: 6, number of convex polygons: 1, [4]
