230907 15:20:36:648 [INFO] (PlanarRegionMappingHandler.java:290): [98] Statistics: Extraction Time: 0.018, Merging Time: 0.005, Registration Time: 0.001, Optimization Time: 0.001, Total Time: 0.024, Area: 0.726, Regions: 3, Vertices: 382
230907 15:20:36:768 [INFO] (PlanarRegionMappingHandler.java:290): [99] Statistics: Extraction Time: 0.014, Merging Time: 0.003, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.018, Area: 0.734, Regions: 3, Vertices: 378
230907 15:20:36:891 [INFO] (PlanarRegionMappingHandler.java:290): [100] Statistics: Extraction Time: 0.017, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.022, Area: 0.807, Regions: 4, Vertices: 435
230907 15:20:37:011 [INFO] (PlanarRegionMappingHandler.java:290): [101] Statistics: Extraction Time: 0.015, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.019, Area: 0.812, Regions: 4, Vertices: 432
230907 15:20:37:133 [INFO] (PlanarRegionMappingHandler.java:290): [102] Statistics: Extraction Time: 0.017, Merging Time: 0.003, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.021, Area: 0.817, Regions: 4, Vertices: 422
230907 15:20:37:249 [INFO] (PlanarRegionMappingHandler.java:290): [103] Statistics: Extraction Time: 0.011, Merging Time: 0.003, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.015, Area: 0.821, Regions: 4, Vertices: 428
230907 15:20:37:376 [INFO] (PlanarRegionMappingHandler.java:290): [104] Statistics: Extraction Time: 0.021, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.026, Area: 0.823, Regions: 4, Vertices: 439
230907 15:20:37:494 [INFO] (PlanarRegionMappingHandler.java:290): [105] Statistics: Extraction Time: 0.012, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.017, Area: 0.847, Regions: 4, Vertices: 440
230907 15:20:37:617 [INFO] (PlanarRegionMappingHandler.java:290): [106] Statistics: Extraction Time: 0.016, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.021, Area: 0.861, Regions: 4, Vertices: 447
230907 15:20:37:737 [INFO] (PlanarRegionMappingHandler.java:290): [107] Statistics: Extraction Time: 0.013, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.019, Area: 0.873, Regions: 4, Vertices: 457
230907 15:20:37:859 [INFO] (PlanarRegionMappingHandler.java:290): [108] Statistics: Extraction Time: 0.017, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.021, Area: 0.896, Regions: 4, Vertices: 448
230907 15:20:37:981 [INFO] (PlanarRegionMappingHandler.java:290): [109] Statistics: Extraction Time: 0.014, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.021, Area: 0.899, Regions: 4, Vertices: 458
230907 15:20:38:101 [INFO] (PlanarRegionMappingHandler.java:290): [110] Statistics: Extraction Time: 0.015, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.019, Area: 0.851, Regions: 3, Vertices: 426
230907 15:20:38:223 [INFO] (PlanarRegionMappingHandler.java:290): [111] Statistics: Extraction Time: 0.014, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.021, Area: 0.886, Regions: 3, Vertices: 430
230907 15:20:38:341 [INFO] (PlanarRegionMappingHandler.java:290): [112] Statistics: Extraction Time: 0.014, Merging Time: 0.003, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.017, Area: 0.978, Regions: 5, Vertices: 483
230907 15:20:38:461 [INFO] (PlanarRegionMappingHandler.java:290): [113] Statistics: Extraction Time: 0.013, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.018, Area: 0.987, Regions: 5, Vertices: 491
230907 15:20:38:585 [INFO] (PlanarRegionMappingHandler.java:290): [114] Statistics: Extraction Time: 0.018, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.023, Area: 1.000, Regions: 5, Vertices: 521
