regionId: 508249408, index: 1, origin: 0.6759403373923033, 0.32045828414571903, 0.008514039019156278, normal: -0.03767539150253973, -0.2146421886998954, 0.975965827119602, concave hull size: 14, number of convex polygons: 1, [11]
regionId: 1524931969, index: 1, origin: 1.246405389209589, 0.16254236241880177, 0.13868442796791594, normal: -0.16043368159350502, -0.1748260128047517, 0.9714406307423767, concave hull size: 18, number of convex polygons: 1, [11]
regionId: 1060002642, index: 1, origin: 1.7310883798316858, -0.18187518837243757, 8.942819395663329E-4, normal: -0.0027473520592944905, -5.45278593684768E-4, 0.9999960773562653, concave hull size: 16, number of convex polygons: 1, [12]
regionId: 2001164509, index: 1, origin: 0.6474743478971986, -0.19000076973101923, 5.6623134046926E-4, normal: -0.0011994501822465736, 0.004838974284916121, 0.9999875727463468, concave hull size: 15, number of convex polygons: 1, [9]
regionId: 1267610697, index: 1, origin: 1.1584187028601567, -0.3778293794092323, 0.0015947834409649425, normal: -0.0013960893635008636, -0.0015069974900750957, 0.9999978899443008, concave hull size: 17, number of convex polygons: 1, [10]
regionId: 1606688245, index: 1, origin: 1.5596775030586085, -0.6001874415177696, 0.0012859358388672719, normal: -1.8208425427193448E-4, -0.0024924239886471118, 0.999996877329117, concave hull size: 14, number of convex polygons: 1, [10]
regionId: 1202594445, index: 1, origin: 1.5829542542016641, 1.4746149970639135, 0.5718758651005328, normal: -0.27144082660597246, -0.9151743801291019, -0.29795256603489856, concave hull size: 7, number of convex polygons: 1, [6]
regionId: 1016492774, index: 1, origin: 1.0857338584279, 1.1743166516480457, -2.955910129008636E-4, normal: 0.00554526171549886, 0.007113502936495347, 0.9999593232469404, concave hull size: 19, number of convex polygons: 1, [12]
regionId: 2017011418, index: 1, origin: 0.719955521903626, 1.7435675255239829, 1.8663294707259088, normal: -0.23270029029048941, -0.9723116007359464, 0.02146452825066668, concave hull size: 9, number of convex polygons: 1, [7]
regionId: 1651382755, index: 1, origin: 0.27004960705252273, -1.3174843893331636, 0.10010939653889812, normal: -0.012917139022682697, 0.00711969745366624, 0.9998912227975786, concave hull size: 12, number of convex polygons: 1, [9]
regionId: 581723586, index: 1, origin: 2.069677316225492, 1.7184780469307535, 0.7769259787522831, normal: -0.05186147792952804, -0.06840862919982454, 0.9963085097287717, concave hull size: 14, number of convex polygons: 1, [9]
regionId: 706177171, index: 1, origin: 0.7880991277369588, -1.4572750546715474, 0.006626690721614896, normal: -0.027547407908971352, 0.005192919423366116, 0.9996070097320042, concave hull size: 8, number of convex polygons: 1, [7]
regionId: 416655822, index: 1, origin: 0.7880991277369588, -1.4572750546715474, 0.006626690721614896, normal: -0.027547407908971352, 0.005192919423366116, 0.9996070097320042, concave hull size: 6, number of convex polygons: 1, [5]
regionId: 192982892, index: 1, origin: 0.562422710093292, 1.7817938247242486, 2.0553080568442477, normal: -0.2820380958641168, -0.9590947623526579, -0.024325897908233862, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 282872657, index: 1, origin: 0.6638044943200784, -1.4064183704396507, 0.009820383149533575, normal: -0.0456735035521431, 0.043101698811036315, 0.998026139253314, concave hull size: 6, number of convex polygons: 1, [5]
regionId: 179117776, index: 1, origin: 0.6638044943200784, -1.4064183704396507, 0.009820383149533575, normal: -0.0456735035521431, 0.043101698811036315, 0.998026139253314, concave hull size: 5, number of convex polygons: 1, [4]
regionId: 1044580928, index: 1, origin: 1.9087553407464712, -0.800135544900383, 0.05445192800834774, normal: -0.08391242650286175, -0.012953606984617424, 0.9963889344751324, concave hull size: 9, number of convex polygons: 1, [8]
regionId: 2140173660, index: 1, origin: 0.8966409782820111, -1.477479377879372, 0.004083717571695989, normal: -0.007790376076477198, 0.012508731613718661, 0.999891414941644, concave hull size: 9, number of convex polygons: 1, [8]
regionId: 1435996790, index: 1, origin: 1.2160557930286109, -1.6608800888061517, 0.012518299027355033, normal: 0.06406780850739362, 0.22903399631256563, 0.9713077496067637, concave hull size: 7, number of convex polygons: 1, [6]
regionId: 60412868, index: 1, origin: 0.7264639937451907, 1.7419432678392957, 1.443034519042288, normal: -0.2556113755738411, -0.9664464549463111, -0.025378620903360155, concave hull size: 6, number of convex polygons: 1, [5]
regionId: 548297475, index: 1, origin: 4.497224646348219, -0.5220603984135846, 1.2956233684833236, normal: -0.9904709761454862, 0.12627767010702545, -0.05496540226132496, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 307909754, index: 1, origin: 0.740503061734713, 1.7141149667593152, 0.3909027654391068, normal: -0.22236548535771505, -0.9749602234673683, 0.0024806406606049172, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 2, index: 1, origin: 0.02983544589963956, 0.1682893723231639, -0.057354511005787284, normal: -0.007187694917094277, 0.03346349947620989, 0.9994140939793598, concave hull size: 6, number of convex polygons: 1, [6]
