regionId: 1280245868, index: 1, origin: 1.7416737653634622, -0.08967554939342201, -1.5533943497679843, normal: 0.03666382061920603, 0.01192174449630894, 0.9992565417678122, concave hull size: 54, number of convex polygons: 3, [10, 7, 9]
regionId: -1464145634, index: 1, origin: 0.4175624069456153, 0.8923167409363608, -1.5154581321342804, normal: 0.02979399053993414, -0.002976211205668259, 0.9995516296292881, concave hull size: 103, number of convex polygons: 5, [5, 8, 10, 7, 10]
regionId: -1507760069, index: 1, origin: 3.0398221308958617, 0.5438748414123525, -1.6062118624175725, normal: 0.0252950429713928, 0.030976872616337744, 0.9991999770636439, concave hull size: 36, number of convex polygons: 2, [10, 9]
regionId: -1852139313, index: 1, origin: 0.12818703189185718, 1.501881393199228, -1.370739788948735, normal: -0.002251466017942782, 0.035673366525720014, 0.9993609667289851, concave hull size: 12, number of convex polygons: 1, [10]
regionId: 272479162, index: 1, origin: 0.19777397671714428, 0.5939961820840836, -1.5138690806925295, normal: 0.5585439015118706, 0.4898012128225245, 0.6694202581349641, concave hull size: 2, number of convex polygons: 1, [2]
regionId: 272479162, index: 2, origin: 0.19777397671714428, 0.5939961820840836, -1.5138690806925295, normal: 0.5585439015118706, 0.4898012128225245, 0.6694202581349641, concave hull size: 2, number of convex polygons: 1, [2]
regionId: -1547204387, index: 1, origin: 0.9421167098353264, -0.10270792570783682, -1.4432234309713945, normal: -0.819530516008128, -0.5526670394786884, 0.15142284109510507, concave hull size: 8, number of convex polygons: 1, [7]
regionId: 573910159, index: 1, origin: 0.9060214791069128, 0.5307074876557, -1.3382320653651234, normal: 0.22739103284122747, -0.14073193709875012, 0.9635807387364242, concave hull size: 16, number of convex polygons: 1, [11]
regionId: -5291509, index: 1, origin: 1.5367237047145241, -0.391604912124182, -1.5135872207189864, normal: 0.23496124407099842, -0.841522180985438, 0.48645003103517265, concave hull size: 11, number of convex polygons: 1, [6]
regionId: -1219002215, index: 1, origin: -0.10488667825867037, 1.1974251027665617, -0.9185026075317072, normal: 0.7091050298108255, 0.7050429400480946, 0.009192898635744406, concave hull size: 22, number of convex polygons: 2, [6, 8]
regionId: 505915744, index: 1, origin: 0.5325244069099423, 1.6962453343651511, -0.996429239536499, normal: -0.05557466742151283, 0.11315858293837056, 0.992021467231616, concave hull size: 19, number of convex polygons: 1, [7]
regionId: -485543765, index: 1, origin: 2.482709013441074, 0.026760355157575588, -1.479739531031195, normal: 0.5842089557235305, -0.7936679333641897, 0.16967942598275798, concave hull size: 12, number of convex polygons: 1, [7]
regionId: 1430953493, index: 1, origin: 1.4748800744900126, 1.745512679133111, -1.5530090662785354, normal: 0.14432829880614986, -0.0890831105547833, 0.9855118170664454, concave hull size: 20, number of convex polygons: 1, [9]
regionId: 1752835604, index: 1, origin: 0.7478722357631322, 0.39451085601873087, -1.5058534845190854, normal: -0.4886284035947542, -0.5902666980450799, 0.6425165432729343, concave hull size: 19, number of convex polygons: 1, [6]
regionId: 1189156841, index: 1, origin: -0.21734139112215917, 1.3169074022172598, -1.399434116151597, normal: -0.7674724476734657, -0.5639230583269987, 0.30492101657515164, concave hull size: 18, number of convex polygons: 1, [7]
regionId: -2070761159, index: 1, origin: 0.025942777699215987, 1.2469430043272776, -1.3998489192087356, normal: -0.7368374573675611, 0.6729923730407412, 0.06443467427635485, concave hull size: 13, number of convex polygons: 1, [6]
regionId: -544349981, index: 1, origin: 1.0626636068122448, 0.0016699254156529156, -1.3369294341482203, normal: 0.04074243163623066, -0.02116805375563692, 0.9989454278210425, concave hull size: 12, number of convex polygons: 1, [8]
regionId: 1309516683, index: 1, origin: 0.7763551338431762, 0.7393261725755083, -1.4574646740844568, normal: -0.7563791252948182, 0.5640525278740206, 0.3312632859481607, concave hull size: 14, number of convex polygons: 1, [8]
regionId: 495014089, index: 1, origin: 1.5604464824822877, 0.4824697914883955, -1.3732364434990083, normal: -0.13995136153661764, -0.10460539084384882, 0.9846173513657235, concave hull size: 14, number of convex polygons: 1, [8]
regionId: -1426931307, index: 1, origin: 1.4523115517825071, 0.3857682188587076, -1.4333970081171339, normal: -0.9365039199763917, -0.3504931602974607, 0.010721588200962251, concave hull size: 10, number of convex polygons: 1, [9]
regionId: -263205422, index: 1, origin: 0.8158426560381409, 0.3797952449449931, -1.3937823708339399, normal: -0.577175492937165, -0.8150713884742586, 0.050270090942677925, concave hull size: 27, number of convex polygons: 1, [7]
regionId: -244056578, index: 1, origin: 1.1284822742688603, 0.8886701317682659, -1.3385785050588113, normal: 0.04237684484624667, 0.005323237997489632, 0.9990875167662236, concave hull size: 14, number of convex polygons: 1, [10]
