regionId: 2002204546, index: 1, origin: 0.2553481459617615, 4.89138650894165, 6.111547700129449E-4, normal: 2.962998696602881E-4, -2.30217250646092E-4, 0.9999999403953552, concave hull size: 295, number of convex polygons: 14, [8, 9, 8, 10, 5, 5, 8, 6, 6, 5, 5, 8, 11, 14]
regionId: 1518554711, index: 1, origin: 0.2491091936826706, 3.656255006790161, 0.09214271605014801, normal: 0.21246469020843506, -0.9771623015403748, 0.0035443976521492004, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 1506677092, index: 1, origin: 0.09302405267953873, 5.216368198394775, 0.1874128133058548, normal: -0.015326513908803463, -0.002975979819893837, 0.9998781085014343, concave hull size: 13, number of convex polygons: 1, [13]
regionId: 1250310398, index: 1, origin: 0.4385329782962799, 4.628540992736816, 0.09073663502931595, normal: -9.037128183990717E-4, 5.681037437170744E-4, 0.9999994039535522, concave hull size: 9, number of convex polygons: 1, [9]
regionId: 2128495435, index: 1, origin: -0.7540881633758545, 3.9381072521209717, 0.06701800972223282, normal: -0.0017963001737371087, -0.0016403665067628026, 0.9999970197677612, concave hull size: 10, number of convex polygons: 1, [10]
regionId: 1069253492, index: 1, origin: 3.13938180624973E-5, 6.332719802856445, 0.1355729103088379, normal: 2.901693806052208E-4, -7.164892158471048E-4, 0.9999997019767761, concave hull size: 15, number of convex polygons: 1, [15]
regionId: 1067560627, index: 1, origin: 0.9060525298118591, 4.038723468780518, 0.08353204280138016, normal: 0.02466460131108761, -0.03470655903220177, 0.9990931153297424, concave hull size: 9, number of convex polygons: 1, [9]
regionId: 761124957, index: 1, origin: 0.556961178779602, 6.176607608795166, 0.09756237268447876, normal: 0.011843048967421055, -0.9999290108680725, 0.0013153718318790197, concave hull size: 9, number of convex polygons: 1, [9]
regionId: 824358846, index: 1, origin: 0.04460825398564339, 4.990769386291504, 0.12008298188447952, normal: -0.2495632767677307, -0.9681518077850342, 0.020006228238344193, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 1642271121, index: 1, origin: 0.93965083360672, 7.415449142456055, 0.09839897602796555, normal: 0.6252971887588501, -0.7801145911216736, 0.020606964826583862, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 1108438686, index: 1, origin: 0.6926153898239136, 7.338491916656494, 0.10117743909358978, normal: -0.08464676886796951, -0.9963354468345642, 0.012269831262528896, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 1066148157, index: 1, origin: 0.7744884490966797, 6.500006198883057, 0.1744801551103592, normal: -0.007076363544911146, -0.002875989768654108, 0.9999708533287048, concave hull size: 20, number of convex polygons: 2, [8, 9]
regionId: 1417614040, index: 1, origin: 1.0238147974014282, 6.401134967803955, 0.09918303042650223, normal: -0.1765967458486557, -0.984168529510498, 0.015028691850602627, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 642073714, index: 1, origin: 0.8921003341674805, 3.4148619174957275, 0.08622349798679352, normal: 0.35278040170669556, -0.9357032179832458, 0.002337684156373143, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 1515123086, index: 1, origin: -1.739393949508667, 3.6347784996032715, 0.10036619752645493, normal: 0.7085130214691162, -0.7056570649147034, 0.007581585552543402, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 299237681, index: 1, origin: 0.471311092376709, 3.47894024848938, 0.07762953639030457, normal: -0.01947956532239914, -0.9998099207878113, -8.428823784925044E-4, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 1253282465, index: 1, origin: 0.7368626594543457, 3.676062822341919, 0.14822813868522644, normal: -0.19357332587242126, 0.05116256698966026, 0.9797508716583252, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 1304746414, index: 1, origin: 0.9162170886993408, 3.611037015914917, 0.1591026932001114, normal: 6.575128645636141E-4, -7.827493827790022E-4, 0.999999463558197, concave hull size: 11, number of convex polygons: 1, [11]
regionId: 232522085, index: 1, origin: -1.7598583698272705, 3.7591488361358643, 0.19947977364063263, normal: 0.01422498095780611, 0.006160305347293615, 0.9998798370361328, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 1771820972, index: 1, origin: -0.0805380716919899, 6.117720127105713, 0.06911690533161163, normal: -0.37114593386650085, -0.9285705089569092, 0.002737803617492318, concave hull size: 5, number of convex polygons: 1, [5]
regionId: 1406728135, index: 1, origin: 0.8429732918739319, 6.303582668304443, 0.09135094285011292, normal: -0.0040782964788377285, 0.002788558602333069, 0.999987781047821, concave hull size: 8, number of convex polygons: 1, [8]
regionId: 1151502221, index: 1, origin: 0.1847245991230011, 6.184037685394287, 0.07158096134662628, normal: 0.7725605964660645, -0.6348158121109009, 0.012610024772584438, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 107424580, index: 1, origin: 0.7955650091171265, 7.546456336975098, 0.18501050770282745, normal: -0.0010915881721302867, 5.581787554547191E-4, 0.9999992251396179, concave hull size: 10, number of convex polygons: 1, [10]
regionId: 563840171, index: 1, origin: 0.021843980997800827, 3.723067045211792, 0.09099743515253067, normal: -0.8560298681259155, -0.5168901681900024, -0.006117228884249926, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 856227655, index: 1, origin: -0.13289333879947662, 5.232071399688721, 0.17594000697135925, normal: -0.32296037673950195, -0.007545545697212219, 0.9463824033737183, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 724768826, index: 1, origin: 0.28437790274620056, 5.6834917068481445, 0.06060483306646347, normal: -0.003366259392350912, -0.009777367115020752, 0.9999465346336365, concave hull size: 2, number of convex polygons: 1, [2]
