regionId: 1431376886, index: 1, origin: -1.8928948640823364, 1.426375389099121, 0.22225439548492432, normal: 0.009197000392546293, -0.002959488418457457, 0.9999533272168659, concave hull size: 12, number of convex polygons: 1, [12]
regionId: 470278690, index: 1, origin: -2.2726306915283203, 1.6644693613052368, 0.31552836298942566, normal: 0.004913361387218905, -0.007767354311754827, 0.9999577626514403, concave hull size: 11, number of convex polygons: 1, [11]
regionId: 1719017531, index: 1, origin: -2.650003433227539, 1.9500974416732788, 0.36201223731040955, normal: 0.050049441390367086, 0.21314264234509628, 0.9757383191361619, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 73624048, index: 1, origin: -1.5783119201660156, 1.208485722541809, 0.15938231348991394, normal: -0.0029810135804282387, -0.0014096241031917014, 0.9999945632441813, concave hull size: 11, number of convex polygons: 1, [11]
regionId: 1923967106, index: 1, origin: -3.230715751647949, 1.9696030616760254, 0.3691038489341736, normal: 0.23041814580396067, 0.0490893870906092, 0.9718527204053776, concave hull size: 9, number of convex polygons: 1, [9]
regionId: 813934370, index: 1, origin: -1.2551677227020264, 1.0207241773605347, 0.07178432494401932, normal: 0.02358208735907583, -0.021512452083650477, 0.9994904199446524, concave hull size: 15, number of convex polygons: 1, [15]
regionId: 1946192167, index: 1, origin: -1.9403536319732666, 1.0183274745941162, 0.01635567471385002, normal: 0.011630230444184675, -0.013868018818970922, 0.9998361944808019, concave hull size: 247, number of convex polygons: 11, [9, 9, 10, 12, 4, 8, 6, 7, 9, 6, 11]
regionId: 85456051, index: 1, origin: -3.210339069366455, 1.7892754077911377, 0.1534731388092041, normal: 0.2157225285332851, -0.9758407954396467, 0.03461983014001906, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 326000410, index: 1, origin: -3.713052272796631, 1.6186598539352417, 0.14439156651496887, normal: 0.7694353398277612, -0.637826437497095, 0.03386286245877668, concave hull size: 9, number of convex polygons: 1, [9]
regionId: 1690748599, index: 1, origin: -2.692816972732544, 1.732440710067749, 0.33615463972091675, normal: -0.24400344329357138, -0.9470058020796843, 0.20890746872310478, concave hull size: 8, number of convex polygons: 1, [8]
regionId: 1082491835, index: 1, origin: -3.838238477706909, 1.7302793264389038, 0.37026312947273254, normal: 0.17622995211034226, -0.15586161467045948, 0.9719311503658599, concave hull size: 10, number of convex polygons: 1, [10]
regionId: 1489729907, index: 1, origin: -3.942753553390503, 1.1753836870193481, 0.146842360496521, normal: 0.8309359489469215, -0.5556852776737293, 0.027555778420314214, concave hull size: 11, number of convex polygons: 1, [11]
regionId: 1105548152, index: 1, origin: -4.241234302520752, 1.405981183052063, 0.33006787300109863, normal: 0.0044188815447859155, 0.004062499791000803, 0.9999819846283938, concave hull size: 16, number of convex polygons: 1, [16]
regionId: 581539866, index: 1, origin: -3.7096729278564453, 1.8669594526290894, 0.2621278464794159, normal: 0.6882472628119186, 0.7237937443892606, 0.04937935616100711, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 271579979, index: 1, origin: -3.947770118713379, 1.428265929222107, 0.26499512791633606, normal: 0.5606253276209038, 0.8280029487522401, 0.010505183841770684, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 422053076, index: 1, origin: -3.7007381916046143, 1.6218656301498413, 0.2789131700992584, normal: 0.7082865395124708, -0.5828386078274344, -0.3982829837831735, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 561155559, index: 1, origin: -2.0195095539093018, 1.751491904258728, 0.2071085274219513, normal: -0.16372501394716368, 0.109836046322757, 0.9803724612289894, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 82249006, index: 1, origin: -1.0866392850875854, 0.8982961773872375, 0.0359945222735405, normal: 0.8371095876426111, -0.5437209152419802, -0.06012573995587244, concave hull size: 8, number of convex polygons: 1, [8]
regionId: 439773359, index: 1, origin: -2.178199529647827, 1.3805270195007324, 0.26850181818008423, normal: 0.8202195614223672, -0.5720157519125344, 0.006152286082230102, concave hull size: 8, number of convex polygons: 1, [8]
regionId: 364945507, index: 1, origin: -1.3229807615280151, 1.2489652633666992, 0.1075635552406311, normal: 0.8302119992104546, -0.5545656099564894, -0.0566129015381383, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 998325930, index: 1, origin: -1.150133728981018, 0.8007076382637024, 0.030285358428955078, normal: 0.4130352677730645, -0.2698486111555893, 0.8698181388273255, concave hull size: 8, number of convex polygons: 1, [8]
