regionId: -9477760, index: 1, origin: 0.23358966372927237, 1.4619925342165443, -1.5628085823204272, normal: 0.03712946627663175, 0.02718487786997479, 0.9989406314437345, concave hull size: 26, number of convex polygons: 1, [12]
regionId: -1540148508, index: 1, origin: 1.1029181932632302, -0.210207350398651, -1.5627192340548846, normal: 0.04624971666696066, 0.02695050834631933, 0.9985662891406363, concave hull size: 119, number of convex polygons: 10, [6, 12, 6, 8, 9, 6, 6, 4, 6, 7]
regionId: 432480736, index: 1, origin: 1.9024104776150457, 0.02507589276303049, -1.4028433573699495, normal: 0.21600036448014612, -0.15959465845301157, 0.96326184785743, concave hull size: 15, number of convex polygons: 1, [9]
regionId: 388647885, index: 1, origin: 1.7748757079218622, 0.6075014494083184, -1.2400784817300625, normal: 0.03227725853584728, -0.041141862232548926, 0.9986318269279465, concave hull size: 43, number of convex polygons: 2, [8, 7]
regionId: 1390447384, index: 1, origin: 1.053942496523061, 0.7415965802348692, -1.4703948273441358, normal: -0.34690619679950785, 0.767706324049403, 0.5387792596571014, concave hull size: 12, number of convex polygons: 1, [6]
regionId: 130439081, index: 1, origin: 1.0003026093419958, 1.1000039433737043, -1.252094894901546, normal: -0.1840979170080943, 0.1354609017253965, 0.9735287879960322, concave hull size: 19, number of convex polygons: 1, [5]
regionId: -714964281, index: 1, origin: 0.6507218163400326, 1.9685836806015458, -1.405272985036955, normal: -0.13699791530367425, 0.1944292201120271, 0.9713026560084536, concave hull size: 12, number of convex polygons: 1, [8]
regionId: -915171177, index: 1, origin: 2.9227643381882764, 0.9314577875953977, -1.4459928130273196, normal: 0.7230222329569416, -0.6860276747363994, -0.08127041371697219, concave hull size: 15, number of convex polygons: 1, [10]
regionId: -690727568, index: 1, origin: 0.4557095713705593, 1.1742791919902351, -1.172390231098321, normal: 0.027232502512732938, 0.04502767667138967, 0.9986144897509102, concave hull size: 32, number of convex polygons: 1, [13]
regionId: -1756976280, index: 1, origin: 0.9750841651770914, 0.8511757714643383, -1.4042578715645644, normal: 0.06894979806318396, 0.9950310131788469, -0.07182762810592713, concave hull size: 15, number of convex polygons: 1, [7]
regionId: 790489922, index: 1, origin: 1.0158014822469494, 0.4923911329038905, -1.4273733045482013, normal: 0.045491099508127554, 0.025827613027121853, 0.998630809794522, concave hull size: 26, number of convex polygons: 1, [7]
regionId: -408967375, index: 1, origin: 1.3567632534483982, 0.8242524134686197, -1.3578666913920248, normal: 0.04498932506375445, -0.14604227244640863, 0.9882548331725967, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 239685389, index: 1, origin: 2.023295852896175, 1.8476303478017222, -1.1824912162551473, normal: 0.04775814731943908, 0.023366539335788097, 0.9985855818126375, concave hull size: 46, number of convex polygons: 1, [13]
regionId: -1657139620, index: 1, origin: 2.9780374198177584, -1.1045765072008484, -1.634139749402674, normal: 0.06683553657015216, 0.0454606360737579, 0.9967278172195001, concave hull size: 47, number of convex polygons: 3, [8, 7, 9]
regionId: 1269072390, index: 1, origin: 0.23229160275074623, 0.8071583456367667, -1.3207560630116422, normal: 0.5203576957789233, 0.8527074186105718, -0.04602093751918823, concave hull size: 14, number of convex polygons: 1, [8]
regionId: 434977462, index: 1, origin: 0.9510771797830916, 1.5938522761488447, -1.599342737516082, normal: -0.0972209403861548, 0.1953817615045856, 0.9758965396095003, concave hull size: 13, number of convex polygons: 1, [10]
regionId: 583203649, index: 1, origin: 1.6346005732679512, 2.605942717350298, -1.3187520172107878, normal: 0.03900803548006397, 0.025652069848242108, 0.9989095777298799, concave hull size: 17, number of convex polygons: 1, [11]
regionId: 583203649, index: 2, origin: 1.6346005732679512, 2.605942717350298, -1.3187520172107878, normal: 0.03900803548006397, 0.025652069848242108, 0.9989095777298799, concave hull size: 2, number of convex polygons: 1, [2]
regionId: -897770185, index: 1, origin: 1.4073950130181183, 0.45523180025430043, -1.326011627674311, normal: 0.8285738021765747, -0.5456981943477847, -0.12521555427430842, concave hull size: 24, number of convex polygons: 1, [7]
regionId: 928108560, index: 1, origin: 1.814923669556549, 1.0711181800320095, -1.4172467263289608, normal: 0.8244871359656606, -0.532922688599122, -0.19030073726453534, concave hull size: 16, number of convex polygons: 1, [9]
regionId: -347927638, index: 1, origin: 0.7815794644147911, 1.0357915548883811, -1.4173079150990089, normal: 0.9911562982373935, -0.05046121764306007, -0.12273083548288477, concave hull size: 16, number of convex polygons: 1, [8]
regionId: 1749805740, index: 1, origin: 2.5722087959879456, 0.18021550798114003, -1.2494783378340022, normal: 0.07971067999253828, 0.033295865969847814, 0.9962618093676205, concave hull size: 18, number of convex polygons: 1, [7]
regionId: 1591621974, index: 1, origin: 1.3438109953609048, 2.267483306489046, -1.2441770419864024, normal: 0.03098951196010527, 0.19907702481823808, 0.9794937408365575, concave hull size: 3, number of convex polygons: 1, [3]
regionId: 1591621974, index: 2, origin: 1.3438109953609048, 2.267483306489046, -1.2441770419864024, normal: 0.03098951196010527, 0.19907702481823808, 0.9794937408365575, concave hull size: 15, number of convex polygons: 1, [9]
regionId: 562230984, index: 1, origin: 1.3603781854238872, 1.4573910528901486, -1.2202800926670432, normal: 0.04023130068804475, 0.010410823628165358, 0.9991361554844922, concave hull size: 19, number of convex polygons: 1, [7]
regionId: 580398418, index: 1, origin: 0.9413392400795282, 2.3560442337675127, -1.2610195573980434, normal: -0.21788102229139505, 0.1477185652926971, 0.9647316132443903, concave hull size: 9, number of convex polygons: 1, [7]
