regionId: 423296871, index: 1, origin: 2.0863669506341256, -0.7970151602442926, -0.09451898472328453, normal: -6.399302488500052E-5, -0.009293164008534367, 0.9999568155713542, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 423296871, index: 2, origin: 2.0863669506341256, -0.7970151602442926, -0.09451898472328453, normal: -6.399302488500052E-5, -0.009293164008534367, 0.9999568155713542, concave hull size: 171, number of convex polygons: 10, [6, 14, 4, 8, 12, 10, 8, 8, 8, 8]
regionId: 291527020, index: 1, origin: 1.9232050892100554, 1.6497823387147128, -0.0757878052528507, normal: -0.0012714432727346577, -0.0058964261852395405, 0.999981807629642, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 291527020, index: 2, origin: 1.9232050892100554, 1.6497823387147128, -0.0757878052528507, normal: -0.0012714432727346577, -0.0058964261852395405, 0.999981807629642, concave hull size: 160, number of convex polygons: 10, [7, 5, 6, 7, 6, 6, 5, 6, 14, 12]
regionId: 1175265118, index: 1, origin: 1.5616162658106303, 0.34490418769524817, 0.2825974209617506, normal: 0.34067541864371714, 0.037902880376725484, 0.9394166438759086, concave hull size: 58, number of convex polygons: 2, [7, 11]
regionId: 1945459666, index: 1, origin: 1.1437025270542192, -0.9305629321381829, 0.6935359234359125, normal: -0.07964010018380493, 0.9968098482516254, 0.005251749354732412, concave hull size: 36, number of convex polygons: 1, [11]
regionId: 641877676, index: 1, origin: 0.6177077017028437, 0.2261406024180795, 0.29285760520341914, normal: -0.002456589480063401, -0.006528250780727874, 0.99997567325904, concave hull size: 22, number of convex polygons: 1, [9]
regionId: 592799534, index: 1, origin: 2.607607122704737, 0.4201708227446097, 0.06697762359420746, normal: 0.011308756999440369, -0.0064450680527561475, 0.9999152829679737, concave hull size: 46, number of convex polygons: 1, [19]
regionId: 1071452770, index: 1, origin: 0.8640018609150927, 0.27827703124991093, 0.48756545500312554, normal: -0.0019408982687744573, -0.009366519425396796, 0.9999542495673309, concave hull size: 26, number of convex polygons: 1, [10]
regionId: 632654505, index: 1, origin: 0.3838804334997048, 0.20337555843456978, 0.0932804191528993, normal: -0.010627710937723307, -6.62882460033606E-5, 0.9999435220881691, concave hull size: 18, number of convex polygons: 1, [7]
regionId: 1829857010, index: 1, origin: 1.065219041847048, -0.9885841097150531, 0.7805010169478394, normal: -0.987257240979306, -0.15912602407449558, 0.0014312917842294048, concave hull size: 39, number of convex polygons: 1, [9]
regionId: 236392310, index: 1, origin: 3.1421995754659604, 0.8557285788285472, 0.1650543502212441, normal: -0.04016969750828967, -0.00883801605193832, 0.9991537843967555, concave hull size: 8, number of convex polygons: 1, [6]
regionId: 2116646044, index: 1, origin: 3.2140650057456885, 0.24483185921349693, 0.17501496009423706, normal: -0.03301394760529311, -0.0817462385631793, 0.9961062351698672, concave hull size: 19, number of convex polygons: 1, [10]
regionId: 1844099651, index: 1, origin: 3.4217720131622213, -0.6834977670879734, 0.7519265908246618, normal: -0.146232050401289, 0.9892428035858889, 0.003855254721176534, concave hull size: 40, number of convex polygons: 1, [10]
regionId: 1967384238, index: 1, origin: 3.0066411152404786, 2.7040038507219424, 0.8136481714876455, normal: 0.13233713980379205, -0.9912005011223077, 0.0029065449313015433, concave hull size: 39, number of convex polygons: 1, [11]
regionId: 822383164, index: 1, origin: 3.337998847015031, -0.7315680719058929, 0.7610446463164852, normal: -0.9700634817202756, -0.24284952450006503, -9.746193252185842E-4, concave hull size: 20, number of convex polygons: 1, [10]
regionId: 822383164, index: 2, origin: 3.337998847015031, -0.7315680719058929, 0.7610446463164852, normal: -0.9700634817202756, -0.24284952450006503, -9.746193252185842E-4, concave hull size: 15, number of convex polygons: 1, [7]
regionId: 715670044, index: 1, origin: 3.1275465846061703, 0.32308588862651944, 0.16938044205307962, normal: -0.9984701420595519, -0.03092579700453274, -0.045836344697329445, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 715670044, index: 2, origin: 3.1275465846061703, 0.32308588862651944, 0.16938044205307962, normal: -0.9984701420595519, -0.03092579700453274, -0.045836344697329445, concave hull size: 11, number of convex polygons: 1, [8]
regionId: 366409837, index: 1, origin: 1.142251367692823, -0.8877138085179518, 1.4413516320191417, normal: -0.29215613565943405, 0.8390009762391294, -0.4590448281664159, concave hull size: 5, number of convex polygons: 1, [5]
regionId: 753331386, index: 1, origin: 3.344311051125074, -0.7186434769282373, 0.8096193483466431, normal: -0.9382387377721512, 0.345978681027231, -0.002612129089117232, concave hull size: 28, number of convex polygons: 1, [9]
regionId: 753331386, index: 2, origin: 3.344311051125074, -0.7186434769282373, 0.8096193483466431, normal: -0.9382387377721512, 0.345978681027231, -0.002612129089117232, concave hull size: 9, number of convex polygons: 1, [5]
regionId: 1692107708, index: 1, origin: 0.6466285180938139, 0.6759269017357009, -0.08118362006571912, normal: -0.09317837704309176, 0.2451338134860746, 0.9650011417285421, concave hull size: 3, number of convex polygons: 1, [3]
regionId: 1692107708, index: 2, origin: 0.6466285180938139, 0.6759269017357009, -0.08118362006571912, normal: -0.09317837704309176, 0.2451338134860746, 0.9650011417285421, concave hull size: 23, number of convex polygons: 1, [8]
regionId: 74539534, index: 1, origin: 3.115270993795742, 0.5904564408652756, 0.0707913892096784, normal: -0.1902823462022853, -0.0609622911558539, 0.97983479616759, concave hull size: 17, number of convex polygons: 1, [6]
regionId: 1829076356, index: 1, origin: 4.891311982098748, -0.6493247560426301, 0.11190582822789168, normal: -0.9975510395007434, -0.015912894792040687, -0.06810802720916109, concave hull size: 12, number of convex polygons: 1, [7]
