regionId: 42865226, index: 1, origin: -1.3210763232859875, -1.3477155161696464, 0.15622863644047771, normal: 0.005222729728287017, 0.0061863250490590965, 0.999967225701209, concave hull size: 20, number of convex polygons: 1, [11]
regionId: 763555791, index: 1, origin: -1.788859031683098, -1.9264169046483883, 0.3949911011600059, normal: -0.017731725254283594, 0.2729958750103681, 0.961851775559431, concave hull size: 17, number of convex polygons: 1, [11]
regionId: 471559327, index: 1, origin: -1.8152020348220317, -1.5588524819923053, 0.34677649702595065, normal: -0.007411950298893827, -0.0055286216276113145, 0.9999572477539554, concave hull size: 18, number of convex polygons: 1, [12]
regionId: 1859674695, index: 1, origin: -2.131333360770589, -1.5024505393733634, 0.20026242120989737, normal: -0.006113085167715065, 5.560769251595428E-4, 0.9999811603066258, concave hull size: 41, number of convex polygons: 2, [12, 9]
regionId: 1528724760, index: 1, origin: -0.9686332605779165, -2.2318696723534512, 0.4064071432042582, normal: -0.014543177567941436, 0.015442938337464357, 0.9997749805039795, concave hull size: 20, number of convex polygons: 1, [12]
regionId: 262701123, index: 1, origin: -2.031566000978737, -1.2487819775226492, 0.0053240898275485685, normal: -0.009059161831999134, 0.00769406654747144, 0.9999293639687079, concave hull size: 270, number of convex polygons: 23, [5, 9, 6, 10, 6, 6, 6, 5, 6, 8, 7, 5, 10, 7, 11, 8, 4, 5, 8, 11, 12, 11, 7]
regionId: 2054623697, index: 1, origin: -1.241229518196589, -1.9534823674065065, 0.24977892818532135, normal: 0.011860329460247367, -0.014858730230667146, 0.9998192590268636, concave hull size: 22, number of convex polygons: 2, [10, 5]
regionId: 2109273657, index: 1, origin: -0.9233053565615474, -1.6826870642086054, 0.34511575014284335, normal: 0.20246531788070543, 0.1506065910106043, 0.9676391113424619, concave hull size: 17, number of convex polygons: 1, [9]
regionId: 1571049410, index: 1, origin: -1.7538895850181577, -2.3447918643951415, 0.39979785656929034, normal: -0.009510182251656882, -0.002917935795436825, 0.9999505198179728, concave hull size: 19, number of convex polygons: 1, [10]
regionId: 1887444692, index: 1, origin: -1.3373531084104535, -2.925065808869028, 0.48954255240304084, normal: -0.016507549312242926, -4.986111480023528E-4, 0.999863616801125, concave hull size: 49, number of convex polygons: 1, [14]
regionId: 1709086277, index: 1, origin: -1.3252898099387214, -1.6952785059736275, 0.16166977235230756, normal: -0.4678286220818473, 0.8837990056190604, -0.005974782653814958, concave hull size: 19, number of convex polygons: 2, [6, 8]
regionId: 822864398, index: 1, origin: -1.2663581112781204, -2.368548931845699, 0.02025873790192138, normal: -0.08762807122847481, -0.04996865383647384, 0.9948992183967922, concave hull size: 2, number of convex polygons: 1, [2]
regionId: 822864398, index: 2, origin: -1.2663581112781204, -2.368548931845699, 0.02025873790192138, normal: -0.08762807122847481, -0.04996865383647384, 0.9948992183967922, concave hull size: 13, number of convex polygons: 1, [8]
regionId: 1426177881, index: 1, origin: -0.15898772144326948, -1.9887071698637477, 0.4111025727925446, normal: -0.013295247814098172, -1.0916108768211537E-4, 0.9999116083281655, concave hull size: 35, number of convex polygons: 2, [10, 7]
regionId: 1510635544, index: 1, origin: -2.4295863230077055, -4.205157304567005, 1.0025653288004888, normal: -0.06774812200433653, 0.991540675765639, 0.11071260211514006, concave hull size: 30, number of convex polygons: 1, [12]
regionId: 162451779, index: 1, origin: -1.4575044287126624, -1.170306023904832, 0.08559286573870205, normal: -0.872366616082323, 0.4888416585470488, -0.0032124778671864807, concave hull size: 13, number of convex polygons: 1, [11]
regionId: 19492031, index: 1, origin: -2.690797194739841, -1.7540380544220364, 0.21567605833048054, normal: -0.1285439262274568, 0.9915660757343916, -0.01652805138935534, concave hull size: 10, number of convex polygons: 1, [8]
regionId: 899403426, index: 1, origin: -1.8397789032428291, -1.3361882962189706, 0.28455755598359284, normal: -0.1114389399683636, 0.9937575435276979, -0.005225642594269766, concave hull size: 10, number of convex polygons: 1, [9]
regionId: 1953504663, index: 1, origin: -2.6227345217662665, -2.2783023391861517, 0.3947293481314515, normal: 0.0180012560412893, 0.006774387392820655, 0.9998150141183058, concave hull size: 32, number of convex polygons: 1, [11]
regionId: 829997629, index: 1, origin: -2.813653465281141, -1.4092642297136022, 0.2906239530507553, normal: 0.006009746374661548, -0.007291381323816875, 0.9999553583570133, concave hull size: 13, number of convex polygons: 1, [9]
regionId: 2043624656, index: 1, origin: -2.235532931848007, -1.338077688217163, 0.0980758502994749, normal: -0.14977826528543453, 0.9886281230493725, -0.013450113901407212, concave hull size: 13, number of convex polygons: 1, [9]
regionId: 1941751232, index: 1, origin: -1.3820450014256414, -2.5376508616386593, 0.2824978647713965, normal: -0.10725523823766016, 0.9942106888896083, -0.006435834695906908, concave hull size: 9, number of convex polygons: 1, [7]
regionId: 879834244, index: 1, origin: -0.4818663189533671, -2.7475531798577584, 0.4178248572019722, normal: -0.00446932958510375, 0.0049227163795114715, 0.999977895733954, concave hull size: 17, number of convex polygons: 1, [9]
regionId: 365031079, index: 1, origin: 0.42196220465608536, -1.7955038038459976, 0.03347410709672684, normal: -5.368520976694214E-4, 0.033381994891882476, 0.9994425217124112, concave hull size: 11, number of convex polygons: 1, [9]
regionId: 873949588, index: 1, origin: -0.11679430627543476, -2.550050108909609, 0.18950449138879782, normal: -0.026671992885087092, -0.04371898772446524, 0.9986877664755316, concave hull size: 20, number of convex polygons: 1, [10]
regionId: 1885407327, index: 1, origin: -3.3774527795612825, -2.2491280660033235, 0.002325785011635162, normal: 0.06253393510587778, -0.6966158838861973, 0.7147138009564568, concave hull size: 13, number of convex polygons: 1, [5]
regionId: 1280475345, index: 1, origin: -1.2037455317301626, -2.534811129936805, 0.03839571500579132, normal: -0.08279714546142447, 0.30113948992106837, 0.9499787578222569, concave hull size: 7, number of convex polygons: 1, [6]
regionId: 671268719, index: 1, origin: -0.49952648335874705, -1.0439513164220453, 0.4049834998754353, normal: 0.005727827716023025, 0.0042533811592756375, 0.9999745500453346, concave hull size: 24, number of convex polygons: 1, [12]
regionId: 1606990847, index: 1, origin: -1.314450017192908, -3.0214183916125386, 0.48906770087124996, normal: -0.21056271035267454, -0.08399453936687035, 0.973965226466265, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 1606990847, index: 2, origin: -1.314450017192908, -3.0214183916125386, 0.48906770087124996, normal: -0.21056271035267454, -0.08399453936687035, 0.973965226466265, concave hull size: 13, number of convex polygons: 1, [9]
regionId: 1293811487, index: 1, origin: -1.0759311597193442, -1.5600769471737645, 0.16431743987355255, normal: -0.6316777831961972, 0.7751830111418582, -0.008630032061382686, concave hull size: 12, number of convex polygons: 1, [8]
regionId: 1883226634, index: 1, origin: 0.2757584889504042, -1.3757835433564398, 0.03207944906105034, normal: 0.027074846950857823, -0.002350319346375022, 0.9996306461196344, concave hull size: 21, number of convex polygons: 1, [9]
regionId: 1965597973, index: 1, origin: -1.1104366111344304, -1.7832237399857624, 0.3240531462019888, normal: -0.7985751027180071, -0.5730021719090714, 0.18424526128617658, concave hull size: 10, number of convex polygons: 1, [8]
