regionId: 1128326186, index: 1, origin: -1.7961522340774536, -1.1220933198928833, -0.010911238379776478, normal: 0.0015496731410978507, -0.005683306570899355, 0.9999826491192619, concave hull size: 399, number of convex polygons: 15, [17, 9, 7, 9, 10, 6, 6, 11, 10, 5, 10, 8, 13, 8, 8]
regionId: 735501518, index: 1, origin: -3.110276937484741, -0.41775959730148315, 0.0689089298248291, normal: 0.0017998026244989375, -0.019769944024185755, 0.9998029355947068, concave hull size: 74, number of convex polygons: 3, [7, 12, 7]
regionId: 735501518, index: 2, origin: -3.110276937484741, -0.41775959730148315, 0.0689089298248291, normal: 0.0017998026244989375, -0.019769944024185755, 0.9998029355947068, concave hull size: 12, number of convex polygons: 1, [12]
regionId: 1813549265, index: 1, origin: -1.0113931894302368, -1.0392049551010132, 0.08740144968032837, normal: -0.024040469527139202, -0.02362596206998978, 0.9994317734298735, concave hull size: 14, number of convex polygons: 1, [14]
regionId: 32299545, index: 1, origin: -1.615783929824829, 0.5713158249855042, 0.14302434027194977, normal: -0.006428386556503858, 0.006360019563220246, 0.9999591121628102, concave hull size: 11, number of convex polygons: 1, [11]
regionId: 1843629061, index: 1, origin: -1.8434650897979736, -2.406961679458618, 0.12294786423444748, normal: -7.922111937347125E-4, -0.00934851612886922, 0.999955987855272, concave hull size: 74, number of convex polygons: 4, [11, 8, 8, 7]
regionId: 1644216317, index: 1, origin: -2.887493848800659, -1.6661388874053955, 0.04212257266044617, normal: -0.003224228340727716, -0.004047971765825932, 0.9999866090484362, concave hull size: 12, number of convex polygons: 1, [12]
regionId: 1998141452, index: 1, origin: -4.852425575256348, -1.416314721107483, -6.084564374759793E-4, normal: 0.002552797593306149, -0.008308326027966837, 0.9999622267581214, concave hull size: 3, number of convex polygons: 1, [3]
regionId: 1998141452, index: 2, origin: -4.852425575256348, -1.416314721107483, -6.084564374759793E-4, normal: 0.002552797593306149, -0.008308326027966837, 0.9999622267581214, concave hull size: 2, number of convex polygons: 1, [2]
regionId: 1998141452, index: 3, origin: -4.852425575256348, -1.416314721107483, -6.084564374759793E-4, normal: 0.002552797593306149, -0.008308326027966837, 0.9999622267581214, concave hull size: 2, number of convex polygons: 1, [2]
regionId: 1998141452, index: 4, origin: -4.852425575256348, -1.416314721107483, -6.084564374759793E-4, normal: 0.002552797593306149, -0.008308326027966837, 0.9999622267581214, concave hull size: 92, number of convex polygons: 3, [11, 12, 5]
regionId: 821452695, index: 1, origin: -0.8572100400924683, -1.1999293565750122, 0.05369752645492554, normal: 0.9529413847129056, 0.2927853248855961, -0.07860961030997592, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 821452695, index: 2, origin: -0.8572100400924683, -1.1999293565750122, 0.05369752645492554, normal: 0.9529413847129056, 0.2927853248855961, -0.07860961030997592, concave hull size: 10, number of convex polygons: 1, [10]
regionId: 1240893505, index: 1, origin: -1.780376672744751, -2.3243894577026367, -0.002299495041370392, normal: -0.1015501994532229, 0.2910048673983683, 0.9513168368853085, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 1240893505, index: 2, origin: -1.780376672744751, -2.3243894577026367, -0.002299495041370392, normal: -0.1015501994532229, 0.2910048673983683, 0.9513168368853085, concave hull size: 5, number of convex polygons: 1, [5]
regionId: 1240893505, index: 3, origin: -1.780376672744751, -2.3243894577026367, -0.002299495041370392, normal: -0.1015501994532229, 0.2910048673983683, 0.9513168368853085, concave hull size: 10, number of convex polygons: 1, [10]
regionId: 1077102283, index: 1, origin: -2.621805191040039, -2.2863690853118896, 0.005460044369101524, normal: 0.2889043977602686, 0.03480207536469355, 0.9567251771042125, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 1077102283, index: 2, origin: -2.621805191040039, -2.2863690853118896, 0.005460044369101524, normal: 0.2889043977602686, 0.03480207536469355, 0.9567251771042125, concave hull size: 5, number of convex polygons: 1, [5]
regionId: 2017217602, index: 1, origin: -1.7016758918762207, 0.4527176320552826, 0.0693196952342987, normal: 0.29189314826965135, -0.9527858296172429, -0.08365137699890865, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 2017217602, index: 2, origin: -1.7016758918762207, 0.4527176320552826, 0.0693196952342987, normal: 0.29189314826965135, -0.9527858296172429, -0.08365137699890865, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 2017217602, index: 3, origin: -1.7016758918762207, 0.4527176320552826, 0.0693196952342987, normal: 0.29189314826965135, -0.9527858296172429, -0.08365137699890865, concave hull size: 11, number of convex polygons: 1, [11]
regionId: 126428396, index: 1, origin: -2.369464874267578, 0.028041677549481392, 0.07581497728824615, normal: 0.03228732860065371, -0.27049582497351876, 0.9621795763181262, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 1608910071, index: 1, origin: -4.3181843757629395, -0.8558842539787292, 0.03901514410972595, normal: 0.3985412160994431, 0.08907561839013446, 0.9128145667540545, concave hull size: 10, number of convex polygons: 1, [10]
regionId: 1608910071, index: 2, origin: -4.3181843757629395, -0.8558842539787292, 0.03901514410972595, normal: 0.3985412160994431, 0.08907561839013446, 0.9128145667540545, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 1608910071, index: 3, origin: -4.3181843757629395, -0.8558842539787292, 0.03901514410972595, normal: 0.3985412160994431, 0.08907561839013446, 0.9128145667540545, concave hull size: 3, number of convex polygons: 1, [3]
regionId: 1608910071, index: 4, origin: -4.3181843757629395, -0.8558842539787292, 0.03901514410972595, normal: 0.3985412160994431, 0.08907561839013446, 0.9128145667540545, concave hull size: 4, number of convex polygons: 1, [4]
