regionId: 953960384, index: 1, origin: 2.2024545669555664, 0.3752599060535431, 0.014536083675920963, normal: -0.010261326392025474, 0.01274259890750565, 0.9998661567198676, concave hull size: 365, number of convex polygons: 13, [8, 14, 5, 7, 8, 10, 13, 9, 13, 13, 12, 7, 7]
regionId: 1815338133, index: 1, origin: 1.6202287673950195, 0.9571539759635925, 0.06735224276781082, normal: -0.031092420615855473, -0.013383005915934245, 0.9994269140526989, concave hull size: 46, number of convex polygons: 2, [10, 8]
regionId: 1237468928, index: 1, origin: 3.0978407859802246, -0.16406181454658508, 0.08397556096315384, normal: -0.01993485785156809, 0.014559078459290744, 0.9996952709085174, concave hull size: 9, number of convex polygons: 1, [9]
regionId: 1594405940, index: 1, origin: 2.389676809310913, 1.7515383958816528, 0.1421593874692917, normal: -0.009041271156148037, 5.228114887019273E-4, 0.9999589902011123, concave hull size: 11, number of convex polygons: 1, [11]
regionId: 1019492973, index: 1, origin: 3.202436685562134, 1.9668830633163452, 0.10239715874195099, normal: -0.005615362869726318, -0.007287962791765263, 0.9999576757534226, concave hull size: 8, number of convex polygons: 1, [8]
regionId: 1417883661, index: 1, origin: 1.6831468343734741, 0.9012690782546997, 0.0042793117463588715, normal: 0.41734635837457934, 0.13062548639747706, 0.8993102909757564, concave hull size: 8, number of convex polygons: 1, [8]
regionId: 752255642, index: 1, origin: 3.965869665145874, 1.0025908946990967, 0.08350948244333267, normal: -0.03801027357690579, -0.004020876298569, 0.9992692588368765, concave hull size: 11, number of convex polygons: 1, [11]
regionId: 1017487498, index: 1, origin: 3.9692559242248535, 2.1498284339904785, 0.16382594406604767, normal: -0.005104467776247326, -0.013301605457293707, 0.9998985006994359, concave hull size: 13, number of convex polygons: 1, [13]
regionId: 849221728, index: 1, origin: 1.4791520833969116, 0.75151127576828, 0.030033009126782417, normal: -0.29874370138023654, -0.045299795489235704, 0.95325764062727, concave hull size: 2, number of convex polygons: 1, [2]
regionId: 849221728, index: 2, origin: 1.4791520833969116, 0.75151127576828, 0.030033009126782417, normal: -0.29874370138023654, -0.045299795489235704, 0.95325764062727, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 849221728, index: 3, origin: 1.4791520833969116, 0.75151127576828, 0.030033009126782417, normal: -0.29874370138023654, -0.045299795489235704, 0.95325764062727, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 297062588, index: 1, origin: 1.2866069078445435, 1.401892900466919, 0.03836936503648758, normal: -0.9593230264299036, -0.28167583887749, -0.01892228194571448, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 2008255165, index: 1, origin: 3.6855013370513916, 2.7183120250701904, 0.11228860914707184, normal: 0.25655541431988715, -0.9625072707368242, 0.08808560133132431, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 672161637, index: 1, origin: 3.745828866958618, 2.7506353855133057, 0.46716925501823425, normal: 0.3303215475409091, -0.9416332164246406, 0.06491964999878722, concave hull size: 9, number of convex polygons: 1, [9]
regionId: 191403742, index: 1, origin: 2.9464306831359863, 2.4916043281555176, 0.4228302538394928, normal: 0.15756128916544104, -0.9500358814202331, -0.2694554957142369, concave hull size: 8, number of convex polygons: 1, [8]
regionId: 1981264342, index: 1, origin: 5.4653849601745605, -0.022210974246263504, 0.20913368463516235, normal: -0.06022059931406946, 0.01340801271923495, 0.998095037866222, concave hull size: 8, number of convex polygons: 1, [8]
regionId: 1554377645, index: 1, origin: 1.766610860824585, 1.4884618520736694, 0.05787838622927666, normal: 0.24988917477658662, -0.958945015643326, -0.1340889902352084, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 1554377645, index: 2, origin: 1.766610860824585, 1.4884618520736694, 0.05787838622927666, normal: 0.24988917477658662, -0.958945015643326, -0.1340889902352084, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 1554377645, index: 3, origin: 1.766610860824585, 1.4884618520736694, 0.05787838622927666, normal: 0.24988917477658662, -0.958945015643326, -0.1340889902352084, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 344637326, index: 1, origin: 1.826899766921997, 1.5026443004608154, 0.031187474727630615, normal: 0.24920610058516204, -0.9638879479066387, 0.09389538493167589, concave hull size: 8, number of convex polygons: 1, [8]
regionId: 926678803, index: 1, origin: 1.6618993282318115, 0.07917774468660355, 0.03444341570138931, normal: -0.9555174850163601, -0.2751633565728499, 0.10616714664891673, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 1710953194, index: 1, origin: 1.7075468301773071, 1.8170639276504517, -0.01324324682354927, normal: 0.01718689085299957, -0.1710474298858915, 0.985112880594015, concave hull size: 6, number of convex polygons: 1, [6]
