regionId: 268223609, index: 1, origin: -2.4266665657843087, 4.316884074216284, -0.02215881750123623, normal: -0.0051445634071623355, 0.009409079232867715, 0.9999424996945271, concave hull size: 273, number of convex polygons: 15, [11, 8, 8, 6, 5, 4, 8, 11, 9, 7, 8, 9, 9, 5, 10]
regionId: 2018316023, index: 1, origin: -1.3521920172531599, 4.805141982114928, 0.4855170478113772, normal: 0.9193599950472121, -0.39303840623139635, 0.017262987397150386, concave hull size: 64, number of convex polygons: 4, [12, 7, 9, 10]
regionId: 325304086, index: 1, origin: -1.765430566975562, 4.406712310097426, 0.42920776124761373, normal: -0.3929681584247672, -0.919544991377727, 0.0036104426851828932, concave hull size: 31, number of convex polygons: 1, [16]
regionId: 837264950, index: 1, origin: -2.1862565807731387, 3.0604021273368627, 0.47286516202386947, normal: 0.8824965634956515, -0.4698286025886111, 0.021468572565460486, concave hull size: 65, number of convex polygons: 3, [12, 8, 13]
regionId: 213750926, index: 1, origin: -2.125844381001316, 3.648261616714134, 0.4262108580152369, normal: 0.46792261110396977, 0.8837079836828419, -0.010422552127433232, concave hull size: 32, number of convex polygons: 1, [18]
regionId: 227911734, index: 1, origin: -2.594499740817326, 2.32044409123334, 0.5118659161395313, normal: 0.8511871183657923, 0.5246132461095897, 0.016168844562855937, concave hull size: 37, number of convex polygons: 2, [9, 9]
regionId: 1669001667, index: 1, origin: -1.5551599970873977, 2.2413000684984765, 0.10190831324113772, normal: -0.0016775748495137615, 0.0020341006880716327, 0.9999965240824665, concave hull size: 26, number of convex polygons: 1, [13]
regionId: 250739681, index: 1, origin: -0.549901670025241, 5.123853648862533, 0.1016285218741565, normal: 0.5661749730621681, -0.823045276935733, 0.04519260992502852, concave hull size: 12, number of convex polygons: 1, [6]
regionId: 1081708936, index: 1, origin: -3.473845929634281, 2.9246169900506485, 0.7850821473734165, normal: 0.896285209201672, 0.4427878952977994, -0.024732641267365702, concave hull size: 12, number of convex polygons: 1, [8]
regionId: 17375019, index: 1, origin: -3.926979566246345, 3.1601140299958663, 0.569820355188306, normal: 0.7591577673199612, 0.484783744397583, -0.43435493031118055, concave hull size: 20, number of convex polygons: 1, [9]
regionId: 468796305, index: 1, origin: -3.809161260038239, 3.0679635612535683, 0.7211921008062162, normal: 0.8271970431702532, 0.5319193388348012, -0.1811266649169534, concave hull size: 14, number of convex polygons: 1, [9]
regionId: 1005334050, index: 1, origin: -0.6028780060252921, 5.091686078871805, 0.7547681585125541, normal: -0.1819780358419247, 0.15549890030954447, 0.9709294961394661, concave hull size: 10, number of convex polygons: 1, [5]
regionId: 109495416, index: 1, origin: -0.5835079146020206, 5.111761999718938, 1.103494731732357, normal: -0.9901739584532856, -0.13379246988066373, 0.04068300633167145, concave hull size: 11, number of convex polygons: 1, [6]
regionId: 266193913, index: 1, origin: -2.393970633915493, 2.6869107818603517, 0.5485021258571321, normal: 0.96501972741404, -0.2613985230796876, 0.02019251924575361, concave hull size: 28, number of convex polygons: 1, [8]
regionId: 1763154681, index: 1, origin: -2.5423827083022505, 2.198932939105563, 0.5508656327003313, normal: -0.11448824155559147, 0.9933065139647115, -0.015317044779623305, concave hull size: 21, number of convex polygons: 1, [6]
regionId: 1850255168, index: 1, origin: -2.2135284918325913, 3.047715842723847, 0.9939595378107497, normal: 0.8492309193241208, -0.4489126318363535, 0.278000529930551, concave hull size: 5, number of convex polygons: 1, [5]
regionId: 1850255168, index: 2, origin: -2.2135284918325913, 3.047715842723847, 0.9939595378107497, normal: 0.8492309193241208, -0.4489126318363535, 0.278000529930551, concave hull size: 13, number of convex polygons: 1, [6]
regionId: 912215388, index: 1, origin: -3.4863373208791013, 2.941746277734637, 0.7815790637396278, normal: 0.773857744453482, 0.6331882604191122, -0.014724748445654643, concave hull size: 10, number of convex polygons: 1, [7]
regionId: 932039558, index: 1, origin: -2.588115218345156, 2.274228087891924, 0.5072689356757922, normal: 0.9667808789313561, 0.25496750404661556, 0.018063886983527053, concave hull size: 30, number of convex polygons: 1, [9]
regionId: 1680037948, index: 1, origin: -0.60274913470387, 4.688010520550795, 0.82640490269343, normal: -0.9401123845122081, -0.34063812669525084, -0.012424617833982288, concave hull size: 48, number of convex polygons: 4, [7, 8, 6, 8]
regionId: 1820278162, index: 1, origin: -0.5452489240490717, 4.522462500438788, 0.6191443092749479, normal: -0.8297518373641662, -0.5579937807512767, -0.012443031531198492, concave hull size: 30, number of convex polygons: 1, [9]
regionId: 1713647161, index: 1, origin: -0.6079355915846854, 4.715063201209711, 0.8728786048430929, normal: -0.8478314000034111, -0.5302111417352068, -0.007619865360000254, concave hull size: 35, number of convex polygons: 1, [9]
regionId: 1529649246, index: 1, origin: -2.2988321238225042, 2.986224715072332, 1.0474009183373783, normal: 0.4260796503577934, -0.21352112632100406, 0.8791273287559603, concave hull size: 12, number of convex polygons: 1, [9]
regionId: 1529649246, index: 2, origin: -2.2988321238225042, 2.986224715072332, 1.0474009183373783, normal: 0.4260796503577934, -0.21352112632100406, 0.8791273287559603, concave hull size: 7, number of convex polygons: 1, [6]
regionId: 465901593, index: 1, origin: -1.4758674957418956, 4.803269006872691, 1.0478745122109692, normal: 0.018966664230192158, 0.0014851285092684781, 0.9998190136426143, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 465901593, index: 2, origin: -1.4758674957418956, 4.803269006872691, 1.0478745122109692, normal: 0.018966664230192158, 0.0014851285092684781, 0.9998190136426143, concave hull size: 14, number of convex polygons: 1, [5]
