regionId: 1959048583, index: 1, origin: -0.34530540813886196, -1.6179983691276825, 0.40096386858947003, normal: -0.005305097971829542, 0.003798211996636044, 0.9999787145340334, concave hull size: 60, number of convex polygons: 2, [9, 12]
regionId: 452129321, index: 1, origin: -0.40217105520396307, -0.7698776403389304, 0.004819911895954509, normal: -0.0048195429231704685, 0.01338214032054584, 0.9998988400465584, concave hull size: 245, number of convex polygons: 17, [5, 8, 10, 9, 7, 10, 4, 5, 5, 6, 7, 9, 7, 8, 6, 8, 7]
regionId: 1582176354, index: 1, origin: -1.3470672657953218, -1.3214885882806449, 0.14886504001653722, normal: 0.009724656425510115, 0.024405464798195498, 0.9996548426058816, concave hull size: 18, number of convex polygons: 1, [12]
regionId: 888119131, index: 1, origin: -0.9478403731405147, -1.6941388466522498, 0.3446030496880307, normal: 0.2001514719022746, 0.13696159921019954, 0.970144787460685, concave hull size: 14, number of convex polygons: 1, [9]
regionId: 888119131, index: 2, origin: -0.9478403731405147, -1.6941388466522498, 0.3446030496880307, normal: 0.2001514719022746, 0.13696159921019954, 0.970144787460685, concave hull size: 6, number of convex polygons: 1, [5]
regionId: 599429997, index: 1, origin: -1.0968173552250509, -1.5571542244026633, 0.14242624623443273, normal: -0.6304007558784488, 0.7761335042000673, 0.01454890531981684, concave hull size: 15, number of convex polygons: 1, [8]
regionId: 1579692805, index: 1, origin: -2.10080159310053, -1.2718145428500935, 0.19904030520006025, normal: -0.014209666779730633, 0.007687767798341296, 0.9998694832808369, concave hull size: 38, number of convex polygons: 3, [10, 9, 6]
regionId: 507386540, index: 1, origin: -0.9802571347569382, -2.2393776809686416, 0.4048744205652368, normal: -0.0013239771056915528, 0.010052566053238957, 0.9999485951789566, concave hull size: 19, number of convex polygons: 1, [11]
regionId: 2015624098, index: 1, origin: -1.3559287009681367, -1.9016152763725231, 0.24725545920375605, normal: -0.023789416652805147, -0.0021255880084649873, 0.9997147320765747, concave hull size: 17, number of convex polygons: 1, [9]
regionId: 1593476198, index: 1, origin: -1.8103661067862253, -1.907795632011013, 0.39470253078561085, normal: -0.0031061002880923803, 0.26835158527825986, 0.9633160326806801, concave hull size: 20, number of convex polygons: 1, [10]
regionId: 489736581, index: 1, origin: -0.8377797768033783, -2.056925865082907, 0.2651311025858441, normal: 0.33337097076355043, 0.9279174315054611, 0.16683235945246289, concave hull size: 18, number of convex polygons: 1, [10]
regionId: 439758985, index: 1, origin: -1.252564770986118, -2.8177678253130827, 0.4913651850515906, normal: -0.017172580987700876, 0.002642543529430349, 0.9998490483197531, concave hull size: 42, number of convex polygons: 1, [15]
regionId: 2617847, index: 1, origin: -1.8200344693833495, -1.5349048593002055, 0.3459399634801248, normal: 0.008562564824146407, 0.02188599436222187, 0.9997238047252897, concave hull size: 18, number of convex polygons: 1, [9]
regionId: 1861160662, index: 1, origin: -0.5249308853364381, -2.765054225921629, 0.4163185681109547, normal: 0.0056484488399741895, 0.008541602525625146, 0.9999475666513702, concave hull size: 16, number of convex polygons: 1, [11]
regionId: 2006251988, index: 1, origin: 0.07956744328125546, -2.0201081587960013, 0.22612020412661465, normal: -0.07196230014656217, 0.9974031634694303, 0.0028908232027219285, concave hull size: 31, number of convex polygons: 3, [7, 8, 5]
regionId: 1969659454, index: 1, origin: -0.009776241059243313, -2.8348831860727834, 0.36394390666107257, normal: 0.22128707184542984, 0.008001423036275046, 0.9751758862192349, concave hull size: 17, number of convex polygons: 1, [11]
regionId: 1577816318, index: 1, origin: -1.4314320898491497, -1.73448479338868, 0.14913269709880755, normal: -0.4900792444382729, 0.8670128824237041, 0.09006106751616802, concave hull size: 17, number of convex polygons: 1, [10]
regionId: 202351445, index: 1, origin: 0.9865142081753685, -2.693317992202305, 0.17189277942150327, normal: -0.009348579889795147, 0.016823539253068828, 0.9998147691352857, concave hull size: 12, number of convex polygons: 1, [8]
regionId: 80744871, index: 1, origin: -0.4804539686051485, -3.1829469170525804, 0.36963632828164317, normal: -0.007242559841785345, 0.011710904355064465, 0.9999051955291185, concave hull size: 11, number of convex polygons: 1, [9]
regionId: 269789262, index: 1, origin: -1.5892165902121802, -2.2649502862324855, 0.28521740588366207, normal: 0.9900860867149687, 0.12462656802384597, 0.06479011835177673, concave hull size: 21, number of convex polygons: 2, [8, 7]
regionId: 377026876, index: 1, origin: 0.520886751241377, -3.2427561396644218, 0.22359636421797993, normal: -0.0300658367555651, 0.003918114935915887, 0.9995402412287044, concave hull size: 19, number of convex polygons: 1, [12]
regionId: 1705038414, index: 1, origin: 0.5042671010179332, -2.844433771989132, 0.21438051860162552, normal: 0.24124019012086298, 0.02468497239836031, 0.9701514432335511, concave hull size: 16, number of convex polygons: 1, [10]
regionId: 1569483702, index: 1, origin: -1.6493953568594804, -1.5575042019085006, 0.16277625390461523, normal: 0.9924488809062817, 0.12168614302384524, 0.01541756737780342, concave hull size: 19, number of convex polygons: 2, [7, 6]
regionId: 1604678157, index: 1, origin: 0.9233131370932807, -3.2108125352212213, 0.2140116649785193, normal: -0.02867671644678494, 0.22915802955126, 0.972966722671446, concave hull size: 11, number of convex polygons: 1, [8]
regionId: 418128709, index: 1, origin: -0.5899934612139305, -0.6074568195776507, 0.31296119003584905, normal: -0.17133877203270956, 0.9850908162378874, 0.015463148518211456, concave hull size: 5, number of convex polygons: 1, [5]
regionId: 834886608, index: 1, origin: -0.4486559141765943, -2.55192055124225, 0.29944961179386487, normal: -0.1413484136627513, 0.988976775442831, -0.04410854327365359, concave hull size: 11, number of convex polygons: 1, [7]
