regionId: 1939592376, index: 1, origin: 1.19265841203325, -1.0260267416556257, 0.022927392993132015, normal: -0.009178699788905335, 0.015719450932101947, 0.9998343114399397, concave hull size: 177, number of convex polygons: 12, [5, 7, 13, 6, 5, 9, 8, 5, 7, 9, 9, 9]
regionId: 213218474, index: 1, origin: 1.7008655224121356, -0.38991630475442307, 0.6357963875558217, normal: -0.7439710426605088, 0.6651040122992832, 0.06437189220483064, concave hull size: 28, number of convex polygons: 2, [10, 7]
regionId: 1348364488, index: 1, origin: 0.91138533949852, -1.6626504578590386, 0.8233697965145116, normal: 0.005583350026962225, -0.0034098820146590565, 0.9999785992245647, concave hull size: 18, number of convex polygons: 1, [10]
regionId: 248905261, index: 1, origin: 0.699080628139534, -1.5834987098458175, 0.15125025973331446, normal: -0.8293563300573894, 0.5535899980150346, -0.07553934002526352, concave hull size: 26, number of convex polygons: 2, [7, 8]
regionId: 1892648099, index: 1, origin: 0.7342157643245687, -1.698897463024071, 0.5902905149984392, normal: -0.8252917020690629, 0.5525958396351596, 0.11632473732556647, concave hull size: 36, number of convex polygons: 2, [13, 8]
regionId: 1031911951, index: 1, origin: 2.7648211791848727, -1.897737948090434, 0.13976103759925604, normal: -0.0042557784172364554, 0.016118741794793605, 0.9998610275998441, concave hull size: 33, number of convex polygons: 1, [11]
regionId: 1912241437, index: 1, origin: 1.4296679430537749, -0.5411466205561605, 0.12099894108164502, normal: -0.7606338736113146, 0.6483762339332487, -0.03231670753007254, concave hull size: 13, number of convex polygons: 1, [9]
regionId: 1627149801, index: 1, origin: 1.7295403957366937, -0.5358143561698017, 0.8136662305669577, normal: -0.002495141434028594, 0.02208239298135914, 0.9997530406002479, concave hull size: 19, number of convex polygons: 1, [7]
regionId: 824081986, index: 1, origin: 1.5617150718967114, -0.23360537102368337, 0.13930372161169843, normal: 0.0063480458095538745, 0.007535326325056015, 0.9999514594076928, concave hull size: 14, number of convex polygons: 1, [7]
regionId: 203781440, index: 1, origin: 1.5622304648769143, -0.4688720305355226, 0.3166117952186235, normal: -0.7157008161806104, 0.6195377164402758, 0.3224055824987784, concave hull size: 15, number of convex polygons: 1, [6]
regionId: 171431236, index: 1, origin: 1.4866956440178132, -0.8073853189880783, 0.5001049793518341, normal: -0.6579769659309589, -0.7529451049890507, 0.0118313641359441, concave hull size: 13, number of convex polygons: 1, [8]
regionId: 2057905071, index: 1, origin: 1.892185085247725, -0.11651228181540198, 0.36959894414131467, normal: -0.6898931823770684, 0.669013955755286, 0.2765279803461222, concave hull size: 12, number of convex polygons: 1, [9]
regionId: 89090152, index: 1, origin: 1.098711047853743, -1.3911421997206557, 0.5675203744854247, normal: 0.5976906000100195, 0.8017256495547881, -0.0013890664548956155, concave hull size: 11, number of convex polygons: 1, [5]
regionId: 623211910, index: 1, origin: 2.572697536365406, -1.8488249153704255, 0.08478185963389034, normal: -0.7667700215631148, 0.6418865845705721, 0.006733986963627481, concave hull size: 22, number of convex polygons: 1, [11]
regionId: 19770178, index: 1, origin: 1.5016545203267309, -0.15060890235044824, 0.06497601211565185, normal: -0.7520938066420692, 0.658758234916737, -0.01981145981566146, concave hull size: 11, number of convex polygons: 1, [8]
regionId: 2029143955, index: 1, origin: 0.813655043684918, -1.4967717999997348, 0.32256252610165154, normal: -0.7909843682917481, 0.5229262819817635, 0.3176347473606018, concave hull size: 17, number of convex polygons: 1, [10]
regionId: 505831778, index: 1, origin: 2.958385948549236, -2.1741548107381456, 0.23882023723501908, normal: 0.0010527659681990322, 0.00909606841851416, 0.9999580757327489, concave hull size: 31, number of convex polygons: 1, [9]
regionId: 678686046, index: 1, origin: 0.5602698639035225, -1.5887385401460863, 0.12760951734251452, normal: -0.0010386713240687591, 5.746253584347801E-4, 0.9999992954835408, concave hull size: 12, number of convex polygons: 1, [11]
regionId: 750910651, index: 1, origin: 0.8973288251974874, -1.6020808776962419, 0.40610617566331536, normal: 0.023749937145365788, -0.008002607336995407, 0.9996859000513116, concave hull size: 8, number of convex polygons: 1, [8]
regionId: 810697067, index: 1, origin: 1.6469490780974885, -0.5472302978689019, 0.39527333535329245, normal: 0.039630692906475376, -0.016031189287571242, 0.9990857866818939, concave hull size: 8, number of convex polygons: 1, [6]
regionId: 766846102, index: 1, origin: 2.8801399574798787, -2.082803282607981, 0.19240352653321766, normal: -0.7223548852673585, 0.6583895339289194, 0.21148674034851817, concave hull size: 27, number of convex polygons: 1, [7]
regionId: 1376407107, index: 1, origin: 2.7658988743612216, -2.209840237277828, 0.18891503059700743, normal: -0.7433658535668664, 0.6667735463921359, -0.0531059844316879, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 1376407107, index: 2, origin: 2.7658988743612216, -2.209840237277828, 0.18891503059700743, normal: -0.7433658535668664, 0.6667735463921359, -0.0531059844316879, concave hull size: 3, number of convex polygons: 1, [3]
regionId: 1376407107, index: 3, origin: 2.7658988743612216, -2.209840237277828, 0.18891503059700743, normal: -0.7433658535668664, 0.6667735463921359, -0.0531059844316879, concave hull size: 3, number of convex polygons: 1, [3]
regionId: 1376407107, index: 4, origin: 2.7658988743612216, -2.209840237277828, 0.18891503059700743, normal: -0.7433658535668664, 0.6667735463921359, -0.0531059844316879, concave hull size: 8, number of convex polygons: 1, [6]
regionId: 1425388949, index: 1, origin: 2.426065767728365, -2.0234088549247153, 0.09097271659053291, normal: -0.7137569558627775, 0.5913030575496464, 0.37538207481170516, concave hull size: 13, number of convex polygons: 1, [8]
