regionId: 268223609, index: 1, origin: -2.426666498184204, 4.3168840408325195, -0.022158818319439888, normal: -0.00514456359706491, 0.009409079499187664, 0.9999424996910441, concave hull size: 273, number of convex polygons: 15, [11, 8, 8, 6, 5, 4, 8, 11, 9, 7, 8, 9, 9, 5, 10]
regionId: 2018316023, index: 1, origin: -1.3521920442581177, 4.805141925811768, 0.48551705479621887, normal: 0.9193599981418802, -0.3930383989619621, 0.017262988095333536, concave hull size: 64, number of convex polygons: 4, [12, 7, 9, 10]
regionId: 325304086, index: 1, origin: -1.7654305696487427, 4.406712532043457, 0.42920777201652527, normal: -0.3929681483561965, -0.9195449956807591, 0.003610442628694892, concave hull size: 31, number of convex polygons: 1, [16]
regionId: 837264950, index: 1, origin: -2.1862566471099854, 3.0604021549224854, 0.47286516427993774, normal: 0.8824965560991109, -0.4698286164705016, 0.02146857281290635, concave hull size: 65, number of convex polygons: 3, [12, 8, 13]
regionId: 213750926, index: 1, origin: -2.1258444786071777, 3.648261547088623, 0.42621085047721863, normal: 0.4679225941432598, 0.8837079926660188, -0.010422551915799138, concave hull size: 32, number of convex polygons: 1, [18]
regionId: 227911734, index: 1, origin: -2.5944998264312744, 2.320444107055664, 0.5118659138679504, normal: 0.8511871093062725, 0.5246132608278128, 0.01616884394262656, concave hull size: 37, number of convex polygons: 2, [9, 9]
regionId: 1669001667, index: 1, origin: -1.5551600456237793, 2.241300106048584, 0.10190831124782562, normal: -0.0016775747910807712, 0.002034100665581267, 0.9999965240826103, concave hull size: 26, number of convex polygons: 1, [13]
regionId: 250739681, index: 1, origin: -0.5499016642570496, 5.12385368347168, 0.10162851959466934, normal: 0.5661749912676217, -0.8230452643501478, 0.045192611054283335, concave hull size: 12, number of convex polygons: 1, [6]
regionId: 1081708936, index: 1, origin: -3.473845958709717, 2.924617052078247, 0.7850821614265442, normal: 0.8962852182580016, 0.44278787695928257, -0.0247326413894218, concave hull size: 12, number of convex polygons: 1, [8]
regionId: 17375019, index: 1, origin: -3.9269795417785645, 3.160114049911499, 0.5698203444480896, normal: 0.759157773125937, 0.4847837364845551, -0.4343549289953342, concave hull size: 20, number of convex polygons: 1, [9]
regionId: 468796305, index: 1, origin: -3.8091611862182617, 3.0679636001586914, 0.7211921215057373, normal: 0.8271970243631471, 0.5319193659981076, -0.18112667103694594, concave hull size: 14, number of convex polygons: 1, [9]
regionId: 1005334050, index: 1, origin: -0.6028780341148376, 5.091686248779297, 0.7547681331634521, normal: -0.18197803064183501, 0.1554989058155384, 0.9709294962322906, concave hull size: 10, number of convex polygons: 1, [5]
regionId: 109495416, index: 1, origin: -0.5835078954696655, 5.111762046813965, 1.1034947633743286, normal: -0.9901739574050551, -0.13379247777300465, 0.04068300588909625, concave hull size: 11, number of convex polygons: 1, [6]
regionId: 266193913, index: 1, origin: -2.3939707279205322, 2.68691086769104, 0.5485021471977234, normal: 0.9650197254941549, -0.2613985301630264, 0.02019251930283186, concave hull size: 28, number of convex polygons: 1, [8]
regionId: 1763154681, index: 1, origin: -2.5423827171325684, 2.1989328861236572, 0.550865650177002, normal: -0.11448824360973768, 0.9933065137231282, -0.015317045092389282, concave hull size: 21, number of convex polygons: 1, [6]
regionId: 1850255168, index: 1, origin: -2.2135283946990967, 3.047715902328491, 0.9939595460891724, normal: 0.8492309299565434, -0.44891261253398357, 0.27800052862010555, concave hull size: 5, number of convex polygons: 1, [5]
regionId: 1850255168, index: 2, origin: -2.2135283946990967, 3.047715902328491, 0.9939595460891724, normal: 0.8492309299565434, -0.44891261253398357, 0.27800052862010555, concave hull size: 13, number of convex polygons: 1, [6]
regionId: 912215388, index: 1, origin: -3.486337423324585, 2.941746234893799, 0.7815790772438049, normal: 0.7738577618886373, 0.6331882391206816, -0.014724748010057019, concave hull size: 10, number of convex polygons: 1, [7]
regionId: 932039558, index: 1, origin: -2.5881152153015137, 2.274228096008301, 0.5072689652442932, normal: 0.9667808787457634, 0.25496750484296815, 0.01806388567613927, concave hull size: 30, number of convex polygons: 1, [9]
regionId: 1680037948, index: 1, origin: -0.6027491092681885, 4.6880106925964355, 0.8264049291610718, normal: -0.940112386353608, -0.340638121619337, -0.012424617667126428, concave hull size: 48, number of convex polygons: 4, [7, 8, 6, 8]
regionId: 1820278162, index: 1, origin: -0.5452489256858826, 4.522462368011475, 0.6191443204879761, normal: -0.8297518461886519, -0.5579937676377601, -0.012443031139599192, concave hull size: 30, number of convex polygons: 1, [9]
regionId: 1713647161, index: 1, origin: -0.6079356074333191, 4.715063095092773, 0.8728786110877991, normal: -0.8478314038849081, -0.530211135533384, -0.0076198650214744385, concave hull size: 35, number of convex polygons: 1, [9]
regionId: 1529649246, index: 1, origin: -2.2988321781158447, 2.98622465133667, 1.047400951385498, normal: 0.4260796610141448, -0.2135211231128792, 0.8791273243704157, concave hull size: 12, number of convex polygons: 1, [9]
regionId: 1529649246, index: 2, origin: -2.2988321781158447, 2.98622465133667, 1.047400951385498, normal: 0.4260796610141448, -0.2135211231128792, 0.8791273243704157, concave hull size: 7, number of convex polygons: 1, [6]
regionId: 465901593, index: 1, origin: -1.475867509841919, 4.803268909454346, 1.0478745698928833, normal: 0.01896666312354628, 0.0014851284981880347, 0.9998190136636239, concave hull size: 7, number of convex polygons: 1, [7]
regionId: 465901593, index: 2, origin: -1.475867509841919, 4.803268909454346, 1.0478745698928833, normal: 0.01896666312354628, 0.0014851284981880347, 0.9998190136636239, concave hull size: 14, number of convex polygons: 1, [5]
