regionId: 139730217, index: 1, origin: -0.2936256616478836, 2.0851622623971795, -0.4666118205831596, normal: 0.007940556105212104, -0.01069165283240463, 0.999911314131634, concave hull size: 363, number of convex polygons: 27, [5, 8, 5, 5, 5, 10, 7, 9, 7, 6, 10, 12, 9, 6, 6, 5, 8, 8, 7, 5, 6, 7, 7, 5, 7, 7, 5]
regionId: 139730217, index: 2, origin: -0.2936256616478836, 2.0851622623971795, -0.4666118205831596, normal: 0.007940556105212104, -0.01069165283240463, 0.999911314131634, concave hull size: 5, number of convex polygons: 1, [4]
regionId: 773676787, index: 1, origin: -0.41951652413550017, 1.1168720456976564, -0.2957494711069942, normal: 7.313990643925861E-4, -0.0034783586933444396, 0.9999936830181524, concave hull size: 36, number of convex polygons: 1, [11]
regionId: 1446090467, index: 1, origin: -0.7987374509407205, 2.429592080068902, -0.3752056315837319, normal: -0.01708640948687621, -0.013470038294081072, 0.9997632783210247, concave hull size: 17, number of convex polygons: 1, [11]
regionId: 339111358, index: 1, origin: -0.17420215172549564, 0.28089389945648885, -0.0370575536001332, normal: 0.007222249143076263, -0.00412041952877965, 0.9999654300325698, concave hull size: 35, number of convex polygons: 3, [8, 6, 9]
regionId: 1627202923, index: 1, origin: -0.21334656912560432, 0.7232107910281385, -0.15677615180083165, normal: 0.006677774856357271, -0.011453183949748674, 0.999912112088048, concave hull size: 31, number of convex polygons: 1, [11]
regionId: 1194401557, index: 1, origin: -0.6115454203874158, 2.8381910821766536, -0.33605007979186974, normal: 0.14109408106294577, -0.9844887651422902, 0.10428006327966881, concave hull size: 11, number of convex polygons: 1, [9]
regionId: 391243651, index: 1, origin: -1.3931794185354485, 2.3649222909255947, -0.37624913240063657, normal: 0.007343879721398262, -0.018455489461267564, 0.9998027117083563, concave hull size: 16, number of convex polygons: 1, [12]
regionId: 872791949, index: 1, origin: 0.6613041395129576, 0.4282661633599895, -0.16227788986581748, normal: 0.033841232666955184, 0.005229576217652477, 0.9994135392839967, concave hull size: 19, number of convex polygons: 1, [10]
regionId: 943036296, index: 1, origin: -1.4790349719899414, 1.3586995648534124, -0.38285003647152366, normal: 0.007626290265999409, -0.012523614662727384, 0.9998924936074669, concave hull size: 28, number of convex polygons: 1, [12]
regionId: 1719262901, index: 1, origin: -1.7659736885405017, 1.63302472285994, -0.2771174914076967, normal: 0.022943411734388436, -0.0269858151820639, 0.9993724859315198, concave hull size: 27, number of convex polygons: 1, [11]
regionId: 678134811, index: 1, origin: -2.1209857721881185, 1.9227405425494255, -0.1278270406163924, normal: 0.005862928512545866, -0.009894946528823069, 0.9999338558637009, concave hull size: 31, number of convex polygons: 2, [14, 10]
regionId: 849163613, index: 1, origin: -1.0382814120073793, 2.927685417112758, -0.07533915670680223, normal: 0.033799358115700597, -0.01426964658294082, 0.999326763665101, concave hull size: 3, number of convex polygons: 1, [3]
regionId: 849163613, index: 2, origin: -1.0382814120073793, 2.927685417112758, -0.07533915670680223, normal: 0.033799358115700597, -0.01426964658294082, 0.999326763665101, concave hull size: 17, number of convex polygons: 1, [10]
regionId: 1227042757, index: 1, origin: -0.9621168255805975, -0.052838156693744344, -0.29996951818466216, normal: 0.015728404925460075, -0.005591156655714945, 0.9998606684162309, concave hull size: 16, number of convex polygons: 1, [9]
regionId: 299614519, index: 1, origin: 1.0409192090881036, 0.6183327926673752, -0.3058250991330633, normal: 0.006063182563756994, -0.014592809588530936, 0.9998751360672549, concave hull size: 12, number of convex polygons: 1, [10]
regionId: 1775016465, index: 1, origin: 1.0016726800340419, 2.238325412278055, -0.2966382218267017, normal: -0.00168800524822162, -0.28219392316197667, 0.9593558986990878, concave hull size: 17, number of convex polygons: 1, [7]
regionId: 1281050369, index: 1, origin: -1.123923392825658, 0.4487880148931788, -0.3045019202320666, normal: 0.057907235070676535, 0.23679041459573744, 0.9698335175080558, concave hull size: 17, number of convex polygons: 1, [8]
regionId: 1117729546, index: 1, origin: -2.334802972736645, 1.351469245864385, -0.37474003979074416, normal: 0.04142289460722574, 0.011868952830371066, 0.9990712045500406, concave hull size: 16, number of convex polygons: 1, [11]
regionId: 364887663, index: 1, origin: -0.17128553468182126, 3.1496936900527372, -0.27492919822533957, normal: 0.0024579723505146855, -0.02188252892103997, 0.9997575272534556, concave hull size: 17, number of convex polygons: 1, [10]
regionId: 1114672120, index: 1, origin: -1.6666460227083282, 2.66636438281448, -0.21791535861514236, normal: 0.21553244498173038, -0.9764958857871103, 0.0012450706985436683, concave hull size: 25, number of convex polygons: 1, [11]
regionId: 2034898366, index: 1, origin: -1.3137234204436, 1.2349157864100304, -0.4193647454862724, normal: 0.724942222851011, -0.6885612799281097, -0.018496954116787312, concave hull size: 13, number of convex polygons: 1, [8]
regionId: 2034898366, index: 2, origin: -1.3137234204436, 1.2349157864100304, -0.4193647454862724, normal: 0.724942222851011, -0.6885612799281097, -0.018496954116787312, concave hull size: 3, number of convex polygons: 1, [3]
regionId: 1228490935, index: 1, origin: -1.810268031226264, 1.8916248988222197, -0.2535299211740493, normal: 0.31965150624086197, -0.2987294574268366, 0.8992127811721851, concave hull size: 9, number of convex polygons: 1, [6]
regionId: 1103142409, index: 1, origin: -1.3578482727481904, 2.7654529581331215, -0.42988178644278285, normal: 0.06878221504667094, -0.218560610918658, 0.973396253459061, concave hull size: 15, number of convex polygons: 2, [5, 10]
regionId: 1500536943, index: 1, origin: 1.0226339695554123, 2.5586179542815546, -0.2590140701196658, normal: -0.3140038693697491, -0.06359890509061004, 0.947289158225777, concave hull size: 46, number of convex polygons: 2, [12, 8]
