pdd_x_world,pdd_y_world,pdd_z_world
0.011096971,-0.052916039,0.024608934
-0.043937705,0.035125598,-0.021513792
0.013178487,0.029177302,0.029750574
0.01990463,-0.026556447,0.051633388
0.01990463,-0.026556447,0.051633388
0.013939732,0.013781998,-0.02667154
0.0398371,-0.068575382,0.008305222
0.012743314,-0.083690614,0.048630618
0.012743314,-0.083690614,0.048630618
-2.77E-04,-0.003901277,0.033950329
0.02143416,-0.007271121,0.022891872
-0.039657962,0.009377459,0.043217283
-0.039657962,0.009377459,0.043217283
0.028055912,-5.98E-04,-0.018212177
0.039690584,-0.078180671,-0.004647188
-0.021390833,-0.023329934,0.020330088
-0.021390833,-0.023329934,0.020330088
0.013431732,-6.63E-05,0.059961122
-0.013724392,0.022797167,0.016458962
-0.030426582,0.041159313,0.015462868
-0.030426582,0.041159313,0.015462868
0.025922878,-0.081859842,0.016678786
0.010631965,-0.052781336,0.004184423
-0.056539152,0.033265129,-0.040283248
-0.056539152,0.033265129,-0.040283248
0.017491747,0.01573314,0.02017701
-0.008037415,-0.015037998,0.053618096
0.010117533,0.039145261,-0.03188375
0.010117533,0.039145261,-0.03188375
0.024257598,-0.065327592,0.025958216
-0.003991988,-0.048114013,0.013041924
-0.028561279,0.024234535,0.01460349
-0.028561279,0.024234535,0.01460349
0.014904708,-0.027543237,-0.003414254
-0.037995774,0.038996257,-0.008992802
0.072911054,0.015256913,0.044724699
0.072911054,0.015256913,0.044724699
0.041854661,-0.064930893,-0.029555041
-0.057150479,0.008158149,-0.011488705
-0.027230147,0.029934755,-3.35E-04
-0.027230147,0.029934755,-3.35E-04
0.031112783,-0.020561365,0.034266502
-0.037794892,0.045978315,-0.034775227
0.036282543,-0.031675231,0.001331236
0.036282543,-0.031675231,0.001331236
0.019768255,-0.081691116,0.046468932
-0.032483567,0.023529295,0.005399799
0.012704954,0.001255172,-0.052710678
0.012704954,0.001255172,-0.052710678
-0.024629939,-0.00938442,0.038358547
0.061550651,0.052317847,-0.018373996
0.063052006,-0.030891662,-0.023884667
0.063052006,-0.030891662,-0.023884667
-0.010658207,0.007995521,-0.008846954
0.004351614,0.028459249,0.00910432
0.005533142,-0.018132398,-0.037755098
0.005533142,-0.018132398,-0.037755098
0.001843723,0.007423291,0.007801587
0.067427009,-0.015177229,0.056196712
0.026784226,-0.05538607,-0.007534945
0.026784226,-0.05538607,-0.007534945
-0.039520249,5.12E-04,0.008309397
-0.001839203,0.021560505,0.007683139
-0.030766774,-0.022691742,0.005729418
-0.030766774,-0.022691742,0.005729418
-8.10E-05,0.014739266,-0.012829507
0.018543381,-0.104244761,0.019591684
-0.003058925,-0.066286169,0.048789985
-0.003058925,-0.066286169,0.048789985
-0.045428816,0.014543555,-0.039827287
-0.005950867,0.005887657,0.001642776
-0.034518547,-0.008171313,0.026356988
-0.034518547,-0.008171313,0.026356988
0.077545777,-0.009797934,0.013650114
0.050807387,-0.051824328,3.76E-04
-0.029886635,-0.016559795,0.011540542
-0.029886635,-0.016559795,0.011540542
-0.020277826,-0.00627656,0.034210041
-0.031717103,0.008695725,-0.043691851
-0.031501658,0.050665207,0.010452546
-0.031501658,0.050665207,0.010452546
0.036693156,-0.041819762,0.028475182
0.019199515,-0.06018221,0.022875652
-0.079594642,-0.01774328,0.004540985
-0.079594642,-0.01774328,0.004540985
0.015834752,0.012616538,0.027790308
-0.031438254,-0.009002491,0.046623632
-0.002439699,0.01890528,-0.002936552
-0.002439699,0.01890528,-0.002936552
0.02003172,-0.076553755,0.020880913
0.01955929,-0.028802445,0.014311668
-0.06201205,0.042204801,-0.008444134
-0.06201205,0.042204801,-0.008444134
-0.015363959,0.014122204,0.02193005
-0.023337115,0.013233976,0.024135033
0.0367014,-0.004270785,-0.005721022
0.0367014,-0.004270785,-0.005721022
0.047914617,-0.030065099,0.003513976
-0.023545563,-0.029987089,0.005177782
0.032972705,0.004549485,0.028324276
0.032972705,0.004549485,0.028324276
0.009094622,0.004789515,-0.012319379
-0.040204674,0.035120748,-0.009736836
0.061712392,-0.046418209,0.018222485
0.061712392,-0.046418209,0.018222485
0.009239371,-0.050918911,0.011667508
-0.037744094,0.035008129,-0.003938765
0.001388681,0.037954424,-0.012578345
0.001388681,0.037954424,-0.012578345
-0.013945071,-4.28E-04,0.033189468
0.015447838,0.013976213,-0.025555719
0.010806253,-0.085507832,-0.003037677
0.010806253,-0.085507832,-0.003037677
0.02738536,-0.046612237,0.066142738
-0.07636109,-0.002198047,-0.019490868
0.006877047,-0.012870406,-0.016120153
0.006877047,-0.012870406,-0.016120153
-0.003373871,0.029353041,0.023615597
0.047061577,0.019069346,-0.011413499
0.047987465,-0.081650943,0.028566387
0.047987465,-0.081650943,0.028566387
-0.066775329,-0.030399261,-0.01115715
-0.010477095,-0.010383421,0.017408773
-0.015920401,-0.017683752,-0.025236825
-0.015920401,-0.017683752,-0.025236825
-0.017181739,0.04765955,-0.027547842
0.058483262,-0.038562749,0.006187365
0.02454875,-0.079372257,0.057995513
0.02454875,-0.079372257,0.057995513
-0.056048144,-0.023563212,0.018695135
-7.65E-04,0.006349206,0.033676982
-0.003685162,0.019430606,0.050511505
-0.003685162,0.019430606,0.050511505
0.01631072,0.033104148,-0.016759552
0.044703484,-0.076218762,-0.002876004
-0.006573314,-0.043323219,0.048321951
-0.006573314,-0.043323219,0.048321951
-0.009821518,0.012787143,-0.02735802
-0.025046248,-0.029466601,-0.017813263
-0.045130562,0.024283662,0.026273172
-0.045130562,0.024283662,0.026273172
0.030312117,-0.015417335,0.049851906
0.042236347,-0.058072854,0.007542499
-0.055629294,-0.014491984,0.005937032
-0.055629294,-0.014491984,0.005937032
-0.039468605,0.005236489,0.006814907
-0.023035193,0.006661783,0.008370264
-0.04847607,0.041368611,-0.011569441
-0.04847607,0.041368611,-0.011569441
0.040868506,-0.039151173,0.009439548
0.023740586,-0.057266045,0.029214729
-0.017852807,0.040042944,-0.020163761
-0.017852807,0.040042944,-0.020163761
0.007580335,-2.37E-05,0.019333202
-0.006151482,-0.020330071,0.066605903
0.033428416,0.020584039,-0.041698538
0.033428416,0.020584039,-0.041698538
0.050836865,-0.021315884,1.09E-04
-0.004527585,-0.026608033,0.024177939
-0.020651709,0.02076171,0.026848456
-0.020651709,0.02076171,0.026848456
-0.009065988,-9.90E-04,-0.016212028
-0.013727435,0.00974668,0.026412118
0.028115857,-0.006575142,0.003616585
0.028115857,-0.006575142,0.003616585
0.042597849,-0.05304791,0.014440249
-0.029004814,-0.013029974,0.003646253
0.010380928,-0.015037735,0.044873901
0.010380928,-0.015037735,0.044873901
-0.027429,-0.015948081,0.020561723
-0.009637822,0.005983113,-0.017612863
0.046042114,-0.073321849,-0.007074906
0.046042114,-0.073321849,-0.007074906
0.060036551,-0.056825329,0.075394139
-0.048963197,0.044870906,-0.035996109
0.001061087,0.011023602,0.020853188
0.001061087,0.011023602,0.020853188
-0.017764382,-0.014297088,0.077473253
0.045021255,-0.01869726,0.015247731
0.038450137,-0.09626507,-0.002825571
0.038450137,-0.09626507,-0.002825571
-0.001227972,-0.019495273,0.038091809
-0.002745819,0.02949813,0.03158778
0.005245826,-0.008041702,0.006501101
0.005245826,-0.008041702,0.006501101
-0.056409299,0.027318429,-0.017426273
0.02413873,-0.044302758,0.041864578
0.003444113,-0.068127103,-0.021302735
0.003444113,-0.068127103,-0.021302735
-0.047402829,0.00289445,-0.013935885
-0.008726535,0.026155291,0.020404883
-0.020240918,-0.005612685,0.018191751
-0.020240918,-0.005612685,0.018191751
-0.007752398,0.028615274,-0.034349136
0.030264916,-0.07739228,0.002444905
-0.002170251,-0.078261867,0.028335279
-0.002170251,-0.078261867,0.028335279
-0.042337954,0.020797592,-0.057595655
0.016160905,-0.01780235,-0.004000175
-0.008153237,0.012515171,0.029355098
-0.008153237,0.012515171,0.029355098
0.033499021,0.022969861,-0.048968997
0.032946538,-0.0512098,-0.025536569
-0.011257377,-0.012244821,0.013622972
-0.011257377,-0.012244821,0.013622972
