regionId: 1071330348, index: 1, origin: -1.1757689180399875, 1.0318889720364655, 0.01268455077906286, normal: 0.0026572773918166017, -0.013068130906828289, 0.9999110774621236, concave hull size: 2, number of convex polygons: 1, [2]
regionId: 1071330348, index: 2, origin: -1.1757689180399875, 1.0318889720364655, 0.01268455077906286, normal: 0.0026572773918166017, -0.013068130906828289, 0.9999110774621236, concave hull size: 3, number of convex polygons: 1, [3]
regionId: 1071330348, index: 3, origin: -1.1757689180399875, 1.0318889720364655, 0.01268455077906286, normal: 0.0026572773918166017, -0.013068130906828289, 0.9999110774621236, concave hull size: 5, number of convex polygons: 1, [4]
regionId: 1071330348, index: 4, origin: -1.1757689180399875, 1.0318889720364655, 0.01268455077906286, normal: 0.0026572773918166017, -0.013068130906828289, 0.9999110774621236, concave hull size: 355, number of convex polygons: 30, [6, 7, 8, 7, 7, 7, 5, 8, 7, 7, 8, 5, 11, 9, 6, 9, 4, 6, 8, 9, 7, 5, 6, 10, 6, 5, 5, 5, 5, 6]
regionId: 1762378241, index: 1, origin: 0.9278827214494666, 1.5723463296890265, 0.015704150679665234, normal: -0.017160789595945834, 0.5703666809921502, 0.8212109086674644, concave hull size: 2, number of convex polygons: 1, [2]
regionId: 1762378241, index: 2, origin: 0.9278827214494666, 1.5723463296890265, 0.015704150679665234, normal: -0.017160789595945834, 0.5703666809921502, 0.8212109086674644, concave hull size: 15, number of convex polygons: 1, [9]
regionId: 1608463870, index: 1, origin: -0.8853685558763501, -0.17432757034945331, 0.3960311845797105, normal: 0.003996881378499176, 0.0024184376468488465, 0.9999890879897613, concave hull size: 52, number of convex polygons: 2, [6, 13]
regionId: 1440418095, index: 1, origin: -0.10934117936839659, 2.4027476755778006, 0.026975990769763782, normal: -0.43592794130382495, 0.4169199348599532, 0.7975867337832178, concave hull size: 2, number of convex polygons: 1, [2]
regionId: 1440418095, index: 2, origin: -0.10934117936839659, 2.4027476755778006, 0.026975990769763782, normal: -0.43592794130382495, 0.4169199348599532, 0.7975867337832178, concave hull size: 5, number of convex polygons: 1, [5]
regionId: 1440418095, index: 3, origin: -0.10934117936839659, 2.4027476755778006, 0.026975990769763782, normal: -0.43592794130382495, 0.4169199348599532, 0.7975867337832178, concave hull size: 10, number of convex polygons: 1, [5]
regionId: 1440418095, index: 4, origin: -0.10934117936839659, 2.4027476755778006, 0.026975990769763782, normal: -0.43592794130382495, 0.4169199348599532, 0.7975867337832178, concave hull size: 2, number of convex polygons: 1, [2]
regionId: 1688754886, index: 1, origin: -1.8499153335239693, 0.1237665190171855, 0.1476234287510656, normal: 0.003592986450079528, 0.014711872417057134, 0.9998853190533171, concave hull size: 19, number of convex polygons: 1, [12]
regionId: 1774073045, index: 1, origin: -1.8035696141719804, -0.47323271319270127, 0.24443073201179502, normal: 0.0058383545879172735, 0.005276690204225406, 0.9999690345986691, concave hull size: 14, number of convex polygons: 1, [9]
regionId: 1070778024, index: 1, origin: -1.4306757407592288, -0.24599834818328634, 0.33750485718515955, normal: 0.20745075394860354, 0.15980580397858865, 0.9651042895464267, concave hull size: 18, number of convex polygons: 1, [13]
regionId: 462783532, index: 1, origin: -0.5413531152761148, 2.2549253996104413, 0.03008228180649346, normal: 0.2491246835176818, -0.1504322740155076, 0.9567167935166279, concave hull size: 31, number of convex polygons: 1, [6]
regionId: 527267205, index: 1, origin: 0.2645841517644986, 0.8041821977025585, 0.003128088786309635, normal: 0.48190167830892316, 0.8010636960644093, 0.35506017418273045, concave hull size: 2, number of convex polygons: 1, [2]
regionId: 527267205, index: 2, origin: 0.2645841517644986, 0.8041821977025585, 0.003128088786309635, normal: 0.48190167830892316, 0.8010636960644093, 0.35506017418273045, concave hull size: 2, number of convex polygons: 1, [2]
regionId: 527267205, index: 3, origin: 0.2645841517644986, 0.8041821977025585, 0.003128088786309635, normal: 0.48190167830892316, 0.8010636960644093, 0.35506017418273045, concave hull size: 2, number of convex polygons: 1, [2]
regionId: 1768618344, index: 1, origin: -0.5157151925759238, 3.002761731382276, 0.03427186713660839, normal: 0.15506247620565763, -0.056950908481102354, 0.9862617413730227, concave hull size: 7, number of convex polygons: 1, [5]
regionId: 1768618344, index: 2, origin: -0.5157151925759238, 3.002761731382276, 0.03427186713660839, normal: 0.15506247620565763, -0.056950908481102354, 0.9862617413730227, concave hull size: 2, number of convex polygons: 1, [2]
regionId: 1768618344, index: 3, origin: -0.5157151925759238, 3.002761731382276, 0.03427186713660839, normal: 0.15506247620565763, -0.056950908481102354, 0.9862617413730227, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 99862618, index: 1, origin: -0.18239529481778535, 2.0964088503519696, 0.027184190886716055, normal: 0.15540570173832308, -0.18929711307107455, 0.969544053073493, concave hull size: 17, number of convex polygons: 1, [7]
regionId: 2015009871, index: 1, origin: -0.2904584186375141, 2.41776996421814, 0.03431469435244799, normal: -0.298725094190752, 0.20530637848311342, 0.9319938889579025, concave hull size: 23, number of convex polygons: 1, [9]
regionId: 682929290, index: 1, origin: 0.7157127129343838, 1.9195960175532565, 0.02594847654780516, normal: -0.05162975608534539, 0.16747928866104883, 0.9845227555298846, concave hull size: 2, number of convex polygons: 1, [2]
regionId: 682929290, index: 2, origin: 0.7157127129343838, 1.9195960175532565, 0.02594847654780516, normal: -0.05162975608534539, 0.16747928866104883, 0.9845227555298846, concave hull size: 18, number of convex polygons: 1, [7]
