regionId: 134611639, index: 1, origin: 13.305614456462083, 20.902674141123132, -0.09892931269625448, normal: -0.009716523229781511, -0.0026166674587531644, 0.9999493698321608, concave hull size: 3, number of convex polygons: 1, [3]
regionId: 134611639, index: 2, origin: 13.305614456462083, 20.902674141123132, -0.09892931269625448, normal: -0.009716523229781511, -0.0026166674587531644, 0.9999493698321608, concave hull size: 314, number of convex polygons: 18, [8, 7, 9, 8, 5, 7, 5, 7, 6, 5, 8, 6, 10, 11, 10, 15, 7, 5]
regionId: 134611639, index: 3, origin: 13.305614456462083, 20.902674141123132, -0.09892931269625448, normal: -0.009716523229781511, -0.0026166674587531644, 0.9999493698321608, concave hull size: 3, number of convex polygons: 1, [3]
regionId: 105802355, index: 1, origin: 14.212721978798804, 21.53035062426106, 0.2981731872959102, normal: -0.833330082075062, -0.5527756997226678, 1.0241377608632973E-5, concave hull size: 48, number of convex polygons: 3, [10, 11, 6]
regionId: 1041858269, index: 1, origin: 12.810501391802594, 19.873150869999463, 0.36202409428251175, normal: -0.8127515639221585, 0.5825689213037766, -0.006953220335904398, concave hull size: 33, number of convex polygons: 1, [14]
regionId: 1016484953, index: 1, origin: 12.95946736497606, 19.483885231383294, 0.41115850467458565, normal: -0.5827301368726051, -0.812664539236567, -0.0013907723943912265, concave hull size: 27, number of convex polygons: 1, [11]
regionId: 2088359618, index: 1, origin: 12.021782948830818, 20.140876169195785, 0.4063268106414273, normal: -0.5727758879597795, -0.8197091220822714, -0.0021765447383624847, concave hull size: 27, number of convex polygons: 1, [13]
regionId: 2081577565, index: 1, origin: 11.715528052687299, 20.36089611689854, 0.40278328368069627, normal: -0.581568284221615, -0.8134970314007148, 9.543006608712101E-4, concave hull size: 28, number of convex polygons: 1, [9]
regionId: 1465568595, index: 1, origin: 13.120736914071424, 18.82898592809491, 0.8268318649511419, normal: -0.5679219534604794, 0.8230187345584613, -0.010238034158081, concave hull size: 50, number of convex polygons: 3, [7, 10, 12]
regionId: 1995281752, index: 1, origin: 13.267157044859744, 19.263509693915545, 0.41538695083104193, normal: -0.5675197473814731, -0.8233546102682393, -0.002919260540795998, concave hull size: 29, number of convex polygons: 1, [15]
regionId: 599639244, index: 1, origin: 13.166036008199058, 18.545428746541337, 0.3800221770339544, normal: -0.5246723958106265, 0.85105452866785, 0.020617136277402304, concave hull size: 11, number of convex polygons: 1, [9]
regionId: 198386981, index: 1, origin: 12.436009590165403, 20.11973477953074, 0.337417365225864, normal: 0.8126361366745763, -0.5827704277026904, 0.0010667548185853137, concave hull size: 31, number of convex polygons: 1, [13]
regionId: 934999700, index: 1, origin: 11.427478445821738, 20.56111045381916, 0.41818135422689207, normal: -0.5877387086945539, -0.8090380514181424, -0.004543309321786815, concave hull size: 28, number of convex polygons: 1, [12]
regionId: 541148201, index: 1, origin: 10.959127128671058, 20.470828441304885, 0.11110040612001858, normal: 0.1852837221142832, -0.10623519398828993, 0.9769258036707534, concave hull size: 30, number of convex polygons: 1, [12]
regionId: 259321915, index: 1, origin: 11.86965190887451, 20.28582128906249, 0.33244581000134354, normal: 0.18912773484540063, -0.981948974012152, 0.0026291345972300276, concave hull size: 19, number of convex polygons: 1, [6]
regionId: 493162054, index: 1, origin: 13.21421378557799, 18.52854765438642, 0.6576384840930096, normal: -0.006763191325522249, -0.01868335765985637, 0.9998025762067471, concave hull size: 14, number of convex polygons: 1, [10]
regionId: 1425159401, index: 1, origin: 11.077721493099917, 20.81489323551546, 0.45944122829183676, normal: -0.5832553174757105, -0.8122867805285455, 0.0018495445056861404, concave hull size: 43, number of convex polygons: 2, [6, 7]
regionId: 509040406, index: 1, origin: 14.579839478868578, 21.41391606369224, 0.652459301673695, normal: -0.023526039112803838, -0.0050204251636974204, 0.9997106185366036, concave hull size: 22, number of convex polygons: 1, [10]
regionId: 1585942358, index: 1, origin: 13.068476083143699, 18.744212693988157, 1.0597806886541385, normal: -0.7651253128870829, -0.6438231626407355, -0.008659724402369395, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 1585942358, index: 2, origin: 13.068476083143699, 18.744212693988157, 1.0597806886541385, normal: -0.7651253128870829, -0.6438231626407355, -0.008659724402369395, concave hull size: 2, number of convex polygons: 1, [2]
regionId: 1585942358, index: 3, origin: 13.068476083143699, 18.744212693988157, 1.0597806886541385, normal: -0.7651253128870829, -0.6438231626407355, -0.008659724402369395, concave hull size: 28, number of convex polygons: 1, [10]
regionId: 851039666, index: 1, origin: 13.508740700268353, 19.088516610567698, 0.44374397486175393, normal: -0.5588394742170172, -0.8291959603343583, -0.011510926202059735, concave hull size: 23, number of convex polygons: 1, [10]
regionId: 1011565482, index: 1, origin: 13.645215577226342, 19.00229855669223, 0.11174180417329191, normal: -0.7508215535834168, 0.6557698022447862, -0.0789491047347527, concave hull size: 10, number of convex polygons: 1, [7]
regionId: 241330997, index: 1, origin: 13.510655313067964, 18.824837811787926, 0.6591698365079028, normal: -0.007001557319004181, 0.005842351845371939, 0.9999584216956341, concave hull size: 11, number of convex polygons: 1, [6]
regionId: 1898240650, index: 1, origin: 13.56171734204431, 23.58152411686435, 0.7972331418453577, normal: 0.592686413709054, -0.8053981457798756, 0.007526073281476975, concave hull size: 31, number of convex polygons: 1, [13]
regionId: 783394828, index: 1, origin: 16.024204343278836, 22.065518245518764, 0.31262671487910704, normal: -0.8017153619902804, -0.5976663567982998, -0.006885078085322571, concave hull size: 8, number of convex polygons: 1, [8]
